Image Name,Caption
pill_ground_truth_color_020_mask.png, game on a video game system
hazelnut_ground_truth_print_000_mask.png, praeet sittiing on a tiled floor in front of
metal_nut_ground_truth_scratch_006_mask.png, on a board at a skate park
toothbrush_ground_truth_defective_012_mask.png, game on the Nintendo Wii
zipper_ground_truth_broken_teeth_012_mask.png, game on the Nintendo Wii.
grid_ground_truth_broken_004_mask.png, games on the Nintendo
metal_nut_ground_truth_bent_002_mask.png, games on the Nintendo Wii.
carpet_ground_truth_color_010_mask.png, area with a large clock tower
cable_ground_truth_bent_wire_001_mask.png, game in progress on the Nintendo
capsule_ground_truth_crack_015_mask.png, games on the Nintendo Wii.
pill_ground_truth_faulty_imprint_002_mask.png, game on the Nintendo Wii.
capsule_ground_truth_poke_007_mask.png, game on the Nintendo Wii
capsule_ground_truth_scratch_019_mask.png, at a school                                                         
metal_nut_ground_truth_flip_016_mask.png,umumumumumumumumumumumumumumumumumumumumumumumumumumumumumumumumumumumumumumumumumumumumumumumumumumumumumumumumumumumumumumumumumumum
zipper_ground_truth_fabric_interior_011_mask.png, on a board at a game
leather_ground_truth_fold_005_mask.png, on a cloudy day                                                          
carpet_ground_truth_metal_contamination_014_mask.png, music on a wooden board
bottle_ground_truth_broken_small_002_mask.png, game on the Nintendo Wii.
capsule_ground_truth_scratch_018_mask.png, game on the Nintendo Wii.
carpet_ground_truth_hole_000_mask.png, game on the Nintendo Wii.
zipper_ground_truth_squeezed_teeth_009_mask.png, games are on the table.
transistor_ground_truth_misplaced_005_mask.png, time for a napkin napkin napkin napkin napkin napkin is napkin is napkin is napkin is napkin is napkin is napkin is napkin is napkin is napkin is napkin is napkin is napkin is napkin is napkin is napkin
bottle_ground_truth_contamination_013_mask.png, in a language other than English
carpet_ground_truth_thread_006_mask.png, on a cloudy day                                                              
capsule_ground_truth_crack_018_mask.png, game on a computer screen.
transistor_ground_truth_bent_lead_001_mask.png, game in progress on a computer
cable_ground_truth_cable_swap_006_mask.png, poo poo poo poo poo poo poo poo poo poo poo poo poo poo poo poo poo poo poo poo poo poo poo poo poo poo               
zipper_ground_truth_squeezed_teeth_012_mask.png, game on the Nintendo Wii.
pill_ground_truth_combined_015_mask.png, on a wooden table                                                            
cable_ground_truth_missing_wire_008_mask.png, game on the Nintendo Wii.
screw_ground_truth_manipulated_front_007_mask.png, music video game.
metal_nut_ground_truth_scratch_017_mask.png, game on the Nintendo Wii.
wood_ground_truth_scratch_003_mask.png, at the end of a long board
pill_ground_truth_crack_019_mask.png, game on the Nintendo Wii.
cable_ground_truth_combined_004_mask.png, at the end of a long boardwalk
pill_ground_truth_scratch_014_mask.png, on a sunny day                                                               
capsule_ground_truth_poke_014_mask.png, music on a wooden table
