Image Name,Caption
bottle_ground_truth_broken_large_000_mask.png,The man in the black shirt is sitting on a bench.
bottle_ground_truth_broken_large_001_mask.png,The man in the black hat is standing in front of a large building.
bottle_ground_truth_broken_large_002_mask.png,The man in the black shirt is sitting on a chair in front of a large window.
bottle_ground_truth_broken_large_003_mask.png,", with a beard and a white shirt, is standing in front of a large sign."
bottle_ground_truth_broken_large_004_mask.png,Watch the man in the black suit walking down the street.
bottle_ground_truth_broken_large_005_mask.png,.
bottle_ground_truth_broken_large_006_mask.png,Warm up your hands and feet.
bottle_ground_truth_broken_large_007_mask.png,Warmly dressed man in a white shirt and black pants is standing in front of a large open doorway.
bottle_ground_truth_broken_large_008_mask.png,The man in the white shirt is sitting on a bench.
bottle_ground_truth_broken_large_009_mask.png,Warm up your legs.
bottle_ground_truth_broken_large_010_mask.png,A man in a white shirt and black pants is sitting on a bench.
bottle_ground_truth_broken_large_011_mask.png,Warm up your eyes and smile.
bottle_ground_truth_broken_large_012_mask.png,Warm up your eyes.
bottle_ground_truth_broken_large_013_mask.png,Warm up your hands and enjoy a meal.
bottle_ground_truth_broken_large_014_mask.png,The man in the black shirt is sitting on a bench.
bottle_ground_truth_broken_large_015_mask.png,Warm up your eyes.
bottle_ground_truth_broken_large_016_mask.png,Warm up your hands and relax.
bottle_ground_truth_broken_large_017_mask.png,Warmly dressed people are standing in front of a large building.
bottle_ground_truth_broken_large_018_mask.png,Warmly dressed people are standing in front of a large building.
bottle_ground_truth_broken_large_019_mask.png,Warmly dressed people are sitting in a circle.
bottle_ground_truth_broken_small_000_mask.png,Warm up your hands and legs.
bottle_ground_truth_broken_small_001_mask.png,Warmly dressed man in a black shirt and black pants is standing in front of a large painting.
bottle_ground_truth_broken_small_002_mask.png,Warm up your hands.
bottle_ground_truth_broken_small_003_mask.png,The man in the white shirt is sitting on a chair.
bottle_ground_truth_broken_small_004_mask.png,Asian man in a black shirt and black pants is sitting on a chair.
bottle_ground_truth_broken_small_005_mask.png,Warm up your hands and enjoy the day.
bottle_ground_truth_broken_small_006_mask.png,Lama is standing in front of a large open field.
bottle_ground_truth_broken_small_007_mask.png,Warm up your hands.
bottle_ground_truth_broken_small_008_mask.png,Warm up your hands and feet.
bottle_ground_truth_broken_small_009_mask.png,Warmly dressed man in a black jacket and hat is standing in front of a large open fire.
bottle_ground_truth_broken_small_010_mask.png,Warm up your hands and feet.
bottle_ground_truth_broken_small_011_mask.png,Warmly dressed man in a white shirt and black pants is sitting in front of a large screen.
bottle_ground_truth_broken_small_012_mask.png,The man in the black jacket is standing in front of a large building.
bottle_ground_truth_broken_small_013_mask.png,Warm up your hands and smile.
bottle_ground_truth_broken_small_014_mask.png,Warm up your hands and legs.
bottle_ground_truth_broken_small_015_mask.png,Warmly dressed man in a black shirt and black pants is sitting in a chair in front of a large open window.
bottle_ground_truth_broken_small_016_mask.png,Warmly dressed man in a white shirt and black pants is standing in front of a large open door.
bottle_ground_truth_broken_small_017_mask.png,Warmly dressed people are standing in front of a wall with a large sign.
bottle_ground_truth_broken_small_018_mask.png,"""There is a man in a black coat and hat standing in front of a large tree. """
bottle_ground_truth_broken_small_019_mask.png,Warmly dressed man in a white shirt and black pants is sitting on a chair in front of a large screen.
bottle_ground_truth_broken_small_020_mask.png,The man in the black shirt is standing in front of a large display of art.
bottle_ground_truth_broken_small_021_mask.png,Asian man in a black shirt and black pants is sitting on a chair.
bottle_ground_truth_contamination_000_mask.png,The man in the white shirt is wearing a white hat and a black hat.
bottle_ground_truth_contamination_001_mask.png,.
bottle_ground_truth_contamination_002_mask.png,Warm up your hands and legs.
bottle_ground_truth_contamination_003_mask.png,The man in the black shirt is standing in front of a building.
bottle_ground_truth_contamination_004_mask.png,A man in a white shirt and black pants is standing in front of a large painting.
bottle_ground_truth_contamination_005_mask.png,The man in the black jacket is sitting on a bench.
bottle_ground_truth_contamination_006_mask.png,The man in the black shirt is sitting on a bench.
bottle_ground_truth_contamination_007_mask.png,", with a man in a black shirt and black pants, standing in front of a building."
bottle_ground_truth_contamination_008_mask.png,The man in the black shirt is sitting on a bench.
bottle_ground_truth_contamination_009_mask.png,The man in the black jacket is sitting on a bench.
bottle_ground_truth_contamination_010_mask.png,Warm up your hands and feet.
bottle_ground_truth_contamination_011_mask.png,The man in the black jacket is sitting on a bench.
bottle_ground_truth_contamination_012_mask.png,The man in the black shirt is sitting on a bench.
bottle_ground_truth_contamination_013_mask.png,A man in a white shirt and black pants is standing in front of a large building.
bottle_ground_truth_contamination_014_mask.png,Warm up your hands and feet in the air.
bottle_ground_truth_contamination_015_mask.png,Warmly dressed man in a black shirt and black pants is standing in front of a large mural.
bottle_ground_truth_contamination_016_mask.png,Warm up your hands and feet.
bottle_ground_truth_contamination_017_mask.png,The man in the white shirt is standing on a sidewalk.
bottle_ground_truth_contamination_018_mask.png,Pieter's eye is closed.
bottle_ground_truth_contamination_019_mask.png,Warmly dressed man in a black shirt and black pants is standing in front of a large open doorway.
bottle_ground_truth_contamination_020_mask.png,The man in the black shirt is sitting on a bench.
cable_ground_truth_bent_wire_000_mask.png,The man in the white shirt is sitting on the ground.
cable_ground_truth_bent_wire_001_mask.png,Warm up your hands and feet in front of a large building.
cable_ground_truth_bent_wire_002_mask.png,", with a man in a white shirt and a woman in a black shirt, sitting in front of a large telescope."
cable_ground_truth_bent_wire_003_mask.png,Warm up your hands.
cable_ground_truth_bent_wire_004_mask.png,The man in the black shirt is standing on the ground.
cable_ground_truth_bent_wire_005_mask.png,A man in a black shirt and jeans is standing in front of a building.
cable_ground_truth_bent_wire_006_mask.png,The man in the black shirt is standing in front of a building.
