Image Name,Caption
pill_ground_truth_color_020_mask.png, the back of a truck and a building                                                        
hazelnut_ground_truth_print_000_mask.png, on the side of the road                                                          
metal_nut_ground_truth_scratch_006_mask.png, of a clock on the wall                                                            
toothbrush_ground_truth_defective_012_mask.png, of a clock on the wall                                                            
zipper_ground_truth_broken_teeth_012_mask.png, next to a clock on a pole                                                         
grid_ground_truth_broken_004_mask.png, next to a bench                                                               
metal_nut_ground_truth_bent_002_mask.png, of a clock on the wall of a building                                                      
carpet_ground_truth_color_010_mask.png, around the corner of a building                                                           
cable_ground_truth_bent_wire_001_mask.png, the back of a bench                                                          
capsule_ground_truth_crack_015_mask.png, next to a clock on a wall                                                         
pill_ground_truth_faulty_imprint_002_mask.png, of a clock on a pole                                                            
capsule_ground_truth_poke_007_mask.png, next to a clock on a pole                                                         
capsule_ground_truth_scratch_019_mask.png, on the side of the road                                                        
metal_nut_ground_truth_flip_016_mask.png, around the corner of a building                                                           
zipper_ground_truth_fabric_interior_011_mask.png, the back of a bench                                                              
leather_ground_truth_fold_005_mask.png, a sign for a bus stop                                                             
carpet_ground_truth_metal_contamination_014_mask.png, on the side of the road                                                          
bottle_ground_truth_broken_small_002_mask.png, around the corner of a building                                                           
capsule_ground_truth_scratch_018_mask.png, next to a sign that says what kind of place it is..                                                  
carpet_ground_truth_hole_000_mask.png, of a clock on the side of a building                                                      
zipper_ground_truth_squeezed_teeth_009_mask.png, on the side of the road                                                          
transistor_ground_truth_misplaced_005_mask.png, the back of a bus that is parked on the side of the road                                                 
bottle_ground_truth_contamination_013_mask.png, the back of a chair and a clock on the wall                                                      
carpet_ground_truth_thread_006_mask.png, on the side of the road                                                          
capsule_ground_truth_crack_018_mask.png, of a clock on the wall of a building                                                        
transistor_ground_truth_bent_lead_001_mask.png, of a clock on the wall of a building                                                         
cable_ground_truth_cable_swap_006_mask.png, on the side of the road                                                           
zipper_ground_truth_squeezed_teeth_012_mask.png, of a clock on a pole                                                           
pill_ground_truth_combined_015_mask.png, a sign for the bus stop                                                             
cable_ground_truth_missing_wire_008_mask.png, next to a bench                                                              
screw_ground_truth_manipulated_front_007_mask.png, along the side of the road                                                     
metal_nut_ground_truth_scratch_017_mask.png, around the corner of a building                                                           
wood_ground_truth_scratch_003_mask.png, around the corner of a building                                                          
pill_ground_truth_crack_019_mask.png, on the side of the road                                                          
cable_ground_truth_combined_004_mask.png, on the side of the road.
pill_ground_truth_scratch_014_mask.png, on the side of the road                                                          
capsule_ground_truth_poke_014_mask.png, on the side of the road                                                         
bottle_ground_truth_broken_large_006_mask.png, of a street sign on a pole                                                           
pill_ground_truth_faulty_imprint_011_mask.png, next to a bench                                                             
hazelnut_ground_truth_hole_014_mask.png, around the corner of a building                                                           
metal_nut_ground_truth_color_013_mask.png, on the side of the road                                                           
metal_nut_ground_truth_scratch_001_mask.png, on the side of the road                                                           
screw_ground_truth_scratch_head_023_mask.png, of a clock on the wall of a building                                                      
metal_nut_ground_truth_scratch_015_mask.png, the back of a parked car and a clock on the wall                                                
carpet_ground_truth_metal_contamination_015_mask.png, on the side of the road                                                           
screw_ground_truth_manipulated_front_001_mask.png, of a clock on the wall of a building                                                       
cable_ground_truth_combined_005_mask.png, is a picture of an outside area.
transistor_ground_truth_damaged_case_006_mask.png, around the corner of a building                                                           
metal_nut_ground_truth_flip_013_mask.png, on the side of the road                                                          
capsule_ground_truth_poke_017_mask.png, of a clock on the side of a building                                                      
wood_ground_truth_color_007_mask.png, on the side of the road                                                          
screw_ground_truth_thread_side_020_mask.png, of a sign on a pole                                                           
zipper_ground_truth_broken_teeth_018_mask.png, next to a clock on a pole                                                         
pill_ground_truth_scratch_016_mask.png, of a clock on the wall of a building                                                        
tile_ground_truth_crack_009_mask.png, on the side of the road                                                         
screw_ground_truth_scratch_neck_001_mask.png, next to a clock on a pole                                                         
tile_ground_truth_oil_016_mask.png, a sidewalk and a clock on the wall                                                          
hazelnut_ground_truth_crack_000_mask.png, around the corner of a building                                                            
toothbrush_ground_truth_defective_013_mask.png, on a sunny day                                                               
cable_ground_truth_missing_cable_011_mask.png, on the side of the road                                                          
pill_ground_truth_color_005_mask.png, of a clock on the wall                                                           
capsule_ground_truth_faulty_imprint_019_mask.png, on the side of the road                                                          
screw_ground_truth_manipulated_front_005_mask.png, of a clock on a pole                                                            
leather_ground_truth_fold_008_mask.png, next to a clock on a pole                                                        
carpet_ground_truth_color_016_mask.png, on the side of the road.
metal_nut_ground_truth_flip_019_mask.png, on the side of the road                                                           
capsule_ground_truth_poke_006_mask.png, of a clock on a pole                                                            
carpet_ground_truth_cut_015_mask.png, the sidewalk of a city street                                                             
cable_ground_truth_combined_008_mask.png, on a sunny day                                                            
pill_ground_truth_color_017_mask.png, of a clock on the wall                                                            
toothbrush_ground_truth_defective_008_mask.png, of a bench and a sign                                                           
zipper_ground_truth_combined_008_mask.png, the back of a truck and some buildings                                                          
bottle_ground_truth_broken_large_004_mask.png, the back of a bus that is parked on the side of the road                                               
hazelnut_ground_truth_hole_017_mask.png, next to a bench                                                             
cable_ground_truth_cut_inner_insulation_002_mask.png, the back of a truck and a building                                                       
bottle_ground_truth_broken_small_017_mask.png, the sidewalk of a city street                                                           
cable_ground_truth_bent_wire_008_mask.png, in the middle of the afternoon                                                          
pill_ground_truth_combined_002_mask.png, on the side of the road                                                           
zipper_ground_truth_rough_015_mask.png, of a clock on the side of a building                                                       
wood_ground_truth_hole_009_mask.png, on a sunny day                                                               
carpet_ground_truth_hole_013_mask.png, on a sunny day                                                               
screw_ground_truth_thread_side_022_mask.png, on the side of the road                                                          
metal_nut_ground_truth_bent_000_mask.png, on the side of the road                                                           
wood_ground_truth_liquid_008_mask.png, on the side of the road                                                          
wood_ground_truth_liquid_007_mask.png, and a clock on the wall                                                             
pill_ground_truth_combined_013_mask.png, and a clock on the wall                                                            
bottle_ground_truth_contamination_004_mask.png, the back of a chair and a clock on the wall                                                    
grid_ground_truth_bent_007_mask.png, on the side of the road                                                          
cable_ground_truth_cut_outer_insulation_004_mask.png, is a picture of an outside area
leather_ground_truth_glue_004_mask.png, of a clock on the wall                                                            
cable_ground_truth_cable_swap_001_mask.png," the back of a bench and a sign that reads ""Prairie"".                                            "
pill_ground_truth_crack_007_mask.png, of a clock on the wall of a building                                                     
tile_ground_truth_glue_strip_005_mask.png, the back of a bench with a sign on it                                                      
leather_ground_truth_glue_017_mask.png, on the side of the road                                                          
toothbrush_ground_truth_defective_001_mask.png, on the side of the road                                                         
cable_ground_truth_bent_wire_006_mask.png, is a picture of an outside area
capsule_ground_truth_crack_021_mask.png, a sign for a bus stop                                                            
tile_ground_truth_oil_005_mask.png, next to a bench with a sign on it                                                       
pill_ground_truth_crack_000_mask.png, a bench with a sign on it                                                            
capsule_ground_truth_squeeze_008_mask.png, on the side of the road                                                          
zipper_ground_truth_fabric_interior_015_mask.png, on the side of the road                                                          
zipper_ground_truth_split_teeth_008_mask.png, of a clock on the wall                                                            
toothbrush_ground_truth_defective_022_mask.png, on the side of the road                                                           
tile_ground_truth_glue_strip_002_mask.png, the back of a car and a clock on the wall                                                       
screw_ground_truth_thread_side_014_mask.png, a sign for a bus stop                                                             
tile_ground_truth_gray_stroke_009_mask.png, a bench with a sign on it                                                            
capsule_ground_truth_scratch_016_mask.png, of a street sign on a pole                                                          
wood_ground_truth_color_002_mask.png, around the corner of a building                                                           
pill_ground_truth_color_009_mask.png, on a sidewalk next to a building.
transistor_ground_truth_misplaced_001_mask.png, a bench with a sign on it                                                            
zipper_ground_truth_rough_002_mask.png, on the side of the road                                                           
metal_nut_ground_truth_flip_015_mask.png, around the corner of a building.
pill_ground_truth_color_016_mask.png, a clock on the wall                                                              
tile_ground_truth_rough_011_mask.png, on the side of the road                                                         
leather_ground_truth_glue_007_mask.png, of a clock on a pole                                                            
pill_ground_truth_contamination_011_mask.png, next to a sign that says no parking                                                       
zipper_ground_truth_combined_009_mask.png, next to a clock on a pole                                                       
leather_ground_truth_glue_013_mask.png, on a sunny day                                                               
hazelnut_ground_truth_cut_002_mask.png, of a clock on the wall                                                          
pill_ground_truth_faulty_imprint_012_mask.png, on the side of the road                                                          
wood_ground_truth_hole_001_mask.png, on a sunny day                                                              
pill_ground_truth_contamination_016_mask.png, on the side of the road                                                          
pill_ground_truth_contamination_015_mask.png, next to a sign on the side of the road                                                    
screw_ground_truth_manipulated_front_023_mask.png, of a clock on the wall of a building                                                        
tile_ground_truth_oil_001_mask.png, the back of a truck and some buildings                                                         
metal_nut_ground_truth_bent_011_mask.png, of a clock on a pole                                                         
cable_ground_truth_poke_insulation_008_mask.png, on the side of the road                                                          
pill_ground_truth_crack_003_mask.png, next to a bench and a sign with a name on it                                                
capsule_ground_truth_faulty_imprint_014_mask.png, the back of a truck and a building                                                          
wood_ground_truth_hole_003_mask.png, on a sunny day                                                               
metal_nut_ground_truth_bent_022_mask.png, the back of a chair and a clock                                                          
bottle_ground_truth_contamination_016_mask.png, on the side of the road                                                          
pill_ground_truth_color_002_mask.png, of a clock on the wall                                                           
capsule_ground_truth_poke_012_mask.png, next to a clock on a pole                                                        
capsule_ground_truth_poke_019_mask.png, on the side of the road                                                          
carpet_ground_truth_cut_016_mask.png, on the side of the road                                                          
capsule_ground_truth_faulty_imprint_010_mask.png, of a clock on the wall                                                           
screw_ground_truth_scratch_head_002_mask.png, of a clock on the wall                                                            
hazelnut_ground_truth_print_007_mask.png, on the side of the road                                                          
carpet_ground_truth_cut_010_mask.png, on the side of the road                                                          
leather_ground_truth_glue_011_mask.png, on the side of the road.
carpet_ground_truth_metal_contamination_000_mask.png, a bench with a sign on it                                                            
leather_ground_truth_fold_004_mask.png, on the side of the road.
wood_ground_truth_hole_005_mask.png, on the side of the road                                                          
grid_ground_truth_broken_006_mask.png, of a clock on the wall                                                            
tile_ground_truth_glue_strip_015_mask.png, the back of a chair and a clock on the wall                                                       
screw_ground_truth_thread_top_013_mask.png, and a clock on the wall                                                            
metal_nut_ground_truth_color_003_mask.png, of a clock on a pole                                                            
tile_ground_truth_crack_011_mask.png, on the side of the road                                                          
leather_ground_truth_color_018_mask.png, on the side of the road                                                          
hazelnut_ground_truth_cut_006_mask.png, a sign for a bus stop                                                             
tile_ground_truth_crack_013_mask.png, on the side of the road                                                          
capsule_ground_truth_scratch_004_mask.png," a sign that says what kind of place it is.""                                                        "
carpet_ground_truth_color_012_mask.png, on the side of the road                                                         
carpet_ground_truth_hole_009_mask.png, on the side of the road                                                           
pill_ground_truth_scratch_008_mask.png, along the side of the road                                                     
zipper_ground_truth_squeezed_teeth_003_mask.png, on the side of the road                                                           
carpet_ground_truth_thread_009_mask.png, of a clock on the side of a building                                                      
leather_ground_truth_cut_016_mask.png, of a clock on the wall                                                            
screw_ground_truth_scratch_head_008_mask.png, of a clock on the wall                                                           
hazelnut_ground_truth_crack_012_mask.png, a sign for a bus stop                                                             
zipper_ground_truth_broken_teeth_004_mask.png, a bench with a sign on it                                                            
tile_ground_truth_crack_016_mask.png, on the side of the road                                                          
hazelnut_ground_truth_print_016_mask.png, on the side of the road                                                         
wood_ground_truth_scratch_011_mask.png, on the side of the road.
leather_ground_truth_glue_016_mask.png, next to a sign that says no parking                                                   
pill_ground_truth_contamination_009_mask.png, of a clock on the wall                                                             
capsule_ground_truth_faulty_imprint_001_mask.png, a sign for a bus stop                                                            
wood_ground_truth_scratch_018_mask.png, of a clock on the wall of a building                                                     
transistor_ground_truth_damaged_case_003_mask.png, next to a sign that says no parking                                                        
screw_ground_truth_thread_top_009_mask.png, next to a bench with a sign on it                                                       
transistor_ground_truth_damaged_case_007_mask.png, of a clock on a pole                                                          
metal_nut_ground_truth_bent_019_mask.png, next to a sign that says no parking here                                                      
screw_ground_truth_scratch_neck_021_mask.png, on the side of the road                                                          
carpet_ground_truth_metal_contamination_005_mask.png, on the side of the road                                                          
pill_ground_truth_combined_000_mask.png, of a clock on the side of a building                                                       
leather_ground_truth_poke_004_mask.png, on the side of the road.
zipper_ground_truth_rough_000_mask.png, next to a sign that says no parking                                                       
leather_ground_truth_poke_002_mask.png, of a clock on a pole                                                           
screw_ground_truth_manipulated_front_017_mask.png, of a clock on the wall of the building                                                       
pill_ground_truth_scratch_010_mask.png, on the side of the road                                                         
capsule_ground_truth_faulty_imprint_000_mask.png, next to a clock on a pole                                                         
carpet_ground_truth_thread_018_mask.png, of a clock on a pole                                                             
bottle_ground_truth_broken_small_007_mask.png, the back end of a truck                                                             
cable_ground_truth_poke_insulation_000_mask.png, on the side of the road                                                           
grid_ground_truth_glue_005_mask.png, of a clock on the wall                                                          
zipper_ground_truth_split_teeth_013_mask.png, of a clock on a pole                                                           
toothbrush_ground_truth_defective_006_mask.png, on the side of a building                                                            
zipper_ground_truth_combined_015_mask.png, on a sunny day                                                              
tile_ground_truth_rough_013_mask.png, around the corner of a building                                                         
capsule_ground_truth_squeeze_004_mask.png, of a clock on the wall                                                           
pill_ground_truth_faulty_imprint_008_mask.png, a sign for a bus stop                                                            
transistor_ground_truth_cut_lead_008_mask.png, the back of a parked car                                                          
zipper_ground_truth_broken_teeth_015_mask.png, next to a sign that says no parking                                                       
hazelnut_ground_truth_print_001_mask.png, on the side of the road                                                          
capsule_ground_truth_squeeze_012_mask.png, benches and a sign on the wall                                                            
toothbrush_ground_truth_defective_016_mask.png, on the side of the road                                                          
screw_ground_truth_manipulated_front_008_mask.png, of a clock on the wall                                                           
screw_ground_truth_scratch_neck_009_mask.png, on the side of the road                                                          
pill_ground_truth_faulty_imprint_010_mask.png, the back of a bench                                                           
transistor_ground_truth_bent_lead_003_mask.png, the back of a truck and a building                                                       
leather_ground_truth_glue_012_mask.png, on the side of the road                                                          
grid_ground_truth_bent_000_mask.png, next to a sign that says no parking                                                       
capsule_ground_truth_scratch_022_mask.png, a sign for the bus stop                                                             
metal_nut_ground_truth_color_020_mask.png, the back of a chair and the back of
cable_ground_truth_missing_cable_008_mask.png, the back of a car and a clock on the wall                                                       
metal_nut_ground_truth_flip_005_mask.png, the back of a truck and a building                                                       
grid_ground_truth_bent_004_mask.png, on the side of the road                                                          
tile_ground_truth_crack_005_mask.png, of a clock on the wall                                                            
zipper_ground_truth_split_teeth_010_mask.png, of a clock on the wall                                                             
carpet_ground_truth_color_005_mask.png, next to a clock on a pole                                                        
pill_ground_truth_faulty_imprint_017_mask.png, on the side of the street                                                            
wood_ground_truth_combined_004_mask.png, around the corner of a building                                                           
carpet_ground_truth_thread_011_mask.png, of a clock on the wall                                                            
wood_ground_truth_combined_009_mask.png, on a sunny day                                                               
screw_ground_truth_thread_top_022_mask.png, a bench with a sign on it                                                            
pill_ground_truth_crack_018_mask.png, on the side of the road                                                           
wood_ground_truth_combined_005_mask.png, the back of a parked car                                                         
bottle_ground_truth_contamination_006_mask.png, next to a sign that says
screw_ground_truth_manipulated_front_004_mask.png, of a clock on the wall                                                            
leather_ground_truth_glue_008_mask.png, on the side of the road                                                          
carpet_ground_truth_thread_010_mask.png, of a clock on the wall                                                            
cable_ground_truth_cut_inner_insulation_003_mask.png, on the side of the road                                                           
pill_ground_truth_crack_011_mask.png, on the side of the road.
screw_ground_truth_thread_side_021_mask.png, on the side of the road                                                          
screw_ground_truth_manipulated_front_010_mask.png, the back of a building with a clock on it                                                      
zipper_ground_truth_squeezed_teeth_004_mask.png, of a clock on a pole                                                          
cable_ground_truth_missing_wire_005_mask.png, on the side of the road                                                         
wood_ground_truth_liquid_003_mask.png, on a sunny day                                                               
pill_ground_truth_scratch_018_mask.png, on the side of the road                                                          
carpet_ground_truth_thread_016_mask.png, of a clock on the side of a building                                                          
capsule_ground_truth_faulty_imprint_021_mask.png, of a clock on the wall of a building                                                         
screw_ground_truth_thread_top_019_mask.png, the back of a truck and a building                                                       
zipper_ground_truth_broken_teeth_003_mask.png, next to a building with a clock on it                                                       
screw_ground_truth_scratch_neck_007_mask.png, next to a building                                                             
grid_ground_truth_bent_008_mask.png, on the side of the road                                                          
hazelnut_ground_truth_hole_001_mask.png, next to a clock on a pole                                                         
zipper_ground_truth_broken_teeth_016_mask.png, on the side of the road                                                          
pill_ground_truth_contamination_002_mask.png, of a clock on the wall of a building                                                       
tile_ground_truth_oil_010_mask.png, on a sunny day                                                               
bottle_ground_truth_contamination_001_mask.png, next to a sign that says no parking                                                       
bottle_ground_truth_broken_small_016_mask.png, on the side of the road                                                          
zipper_ground_truth_fabric_interior_007_mask.png, of a clock on the wall                                                           
zipper_ground_truth_split_teeth_012_mask.png, next to a sign and a bench                                                         
hazelnut_ground_truth_cut_014_mask.png, of a clock on the wall                                                            
capsule_ground_truth_crack_007_mask.png, on the side of the road.
wood_ground_truth_color_006_mask.png, around the corner of a building                                                           
pill_ground_truth_crack_009_mask.png, on the side of the road                                                         
capsule_ground_truth_squeeze_018_mask.png, a bench with a sign on it                                                            
wood_ground_truth_liquid_006_mask.png, around the corner of a building                                                           
tile_ground_truth_oil_000_mask.png, a bench and a sign                                                             
wood_ground_truth_color_004_mask.png, next to a sign that says no parking
tile_ground_truth_gray_stroke_003_mask.png, and a clock on the wall                                                             
pill_ground_truth_faulty_imprint_001_mask.png, of a clock on the wall of a building                                                       
pill_ground_truth_pill_type_006_mask.png, around the corner of a building                                                            
cable_ground_truth_missing_cable_004_mask.png, on a sunny day                                                              
hazelnut_ground_truth_crack_015_mask.png, on the side of the road                                                           
pill_ground_truth_combined_004_mask.png, and a clock on the wall                                                           
toothbrush_ground_truth_defective_025_mask.png, a bench with a sign on it                                                            
pill_ground_truth_crack_016_mask.png, of a clock on the wall                                                            
wood_ground_truth_color_000_mask.png, on a sunny day                                                              
screw_ground_truth_manipulated_front_020_mask.png, a bench with a sign on it                                                            
hazelnut_ground_truth_hole_009_mask.png, next to a sign that says no parking                                                       
tile_ground_truth_glue_strip_003_mask.png, a bench and a sign                                                             
tile_ground_truth_glue_strip_012_mask.png, on the side of the road                                                           
leather_ground_truth_fold_012_mask.png, next to a clock on a pole                                                        
leather_ground_truth_color_001_mask.png, of a clock on the wall                                                           
