Image Name,Caption
pill_ground_truth_color_020_mask.png, from the top.
hazelnut_ground_truth_print_000_mask.png, from the top of the
metal_nut_ground_truth_scratch_006_mask.png, from the top of
toothbrush_ground_truth_defective_012_mask.png, from the top of
zipper_ground_truth_broken_teeth_012_mask.png, in the middle of the picture
grid_ground_truth_broken_004_mask.png, from the top of
metal_nut_ground_truth_bent_002_mask.png, from the top of
carpet_ground_truth_color_010_mask.png, in the middle of the road
cable_ground_truth_bent_wire_001_mask.png, from the top of
capsule_ground_truth_crack_015_mask.png, from the top of
pill_ground_truth_faulty_imprint_002_mask.png, from the top.
capsule_ground_truth_poke_007_mask.png, from the top of
capsule_ground_truth_scratch_019_mask.png, in the middle of the picture
metal_nut_ground_truth_flip_016_mask.png, from the top of the stairs.
zipper_ground_truth_fabric_interior_011_mask.png, from the top of the
leather_ground_truth_fold_005_mask.png, in the middle of the picture
carpet_ground_truth_metal_contamination_014_mask.png, from the top.
bottle_ground_truth_broken_small_002_mask.png, from the top of the stairs.
capsule_ground_truth_scratch_018_mask.png, from the top of
carpet_ground_truth_hole_000_mask.png, in the middle of the picture
zipper_ground_truth_squeezed_teeth_009_mask.png, in the middle of the road
transistor_ground_truth_misplaced_005_mask.png, from the top of the
bottle_ground_truth_contamination_013_mask.png, from the top of the stairs
carpet_ground_truth_thread_006_mask.png, from the top.
capsule_ground_truth_crack_018_mask.png, from the top.
transistor_ground_truth_bent_lead_001_mask.png, from the top.
cable_ground_truth_cable_swap_006_mask.png, from the top of the stairs.
zipper_ground_truth_squeezed_teeth_012_mask.png, from the top.
pill_ground_truth_combined_015_mask.png, from the top of
cable_ground_truth_missing_wire_008_mask.png, in the middle of the picture
screw_ground_truth_manipulated_front_007_mask.png, from the top of
metal_nut_ground_truth_scratch_017_mask.png, from the top of the
wood_ground_truth_scratch_003_mask.png, from the top of
pill_ground_truth_crack_019_mask.png, from the top.
cable_ground_truth_combined_004_mask.png, from the top of the stairs.
pill_ground_truth_scratch_014_mask.png, from the top of
capsule_ground_truth_poke_014_mask.png, from the top of
bottle_ground_truth_broken_large_006_mask.png, in the corner of the screen
pill_ground_truth_faulty_imprint_011_mask.png, from the top of the stairs
hazelnut_ground_truth_hole_014_mask.png, from the top of the stairs.
metal_nut_ground_truth_color_013_mask.png, in the middle of the picture
metal_nut_ground_truth_scratch_001_mask.png, from the top of
screw_ground_truth_scratch_head_023_mask.png, from the top.
metal_nut_ground_truth_scratch_015_mask.png, from the top of
carpet_ground_truth_metal_contamination_015_mask.png, from the top.
screw_ground_truth_manipulated_front_001_mask.png, from the top.
cable_ground_truth_combined_005_mask.png, in the middle of the picture.
transistor_ground_truth_damaged_case_006_mask.png, from the top.
metal_nut_ground_truth_flip_013_mask.png, from the top of the stairs
capsule_ground_truth_poke_017_mask.png, from the top of
wood_ground_truth_color_007_mask.png, from the top of the stairs.
screw_ground_truth_thread_side_020_mask.png, from the top.
