Image Name,Caption
transistor_train_good_171.png, of a building with a clock on it                                                          
zipper_train_good_239.png, an office building with a clock on the front of it                                                     
bottle_train_good_059.png, of a person sitting on a bench                                                            
wood_train_good_222.png, on a sunny day                                                               
pill_train_good_238.png, buildings and a street sign                                                           
screw_train_good_137.png, of a building with a clock on it                                                        
screw_train_good_200.png, of a building with a clock on it                                                          
grid_train_good_045.png, at an oriental resort                                                              
capsule_train_good_138.png, ways to go to go to go to go to go to go to go to go to go to go to go to go to go to go to go to go to go to go to go to go to go to go to go to go to go to go to go to go to go to go to go to go to
capsule_train_good_071.png, ways to go to go to go to go to go to go to go to go to go to go to go to go to go to go to go to go to go to go to go to go to go to go to go to go to go to go to go to go to go to go to go to go to
wood_train_good_019.png, of the streets of a city                                                             
carpet_train_good_149.png, on a sunny day                                                               
screw_train_good_281.png, on a sunny day                                                               
grid_train_good_135.png, ways to get to the next destination
screw_train_good_309.png, on a sunny day                                                               
screw_train_good_076.png, on a sunny day                                                               
wood_train_good_031.png, of an outdoor area that looks neat.
hazelnut_train_good_170.png, of the things that people are doing in
hazelnut_train_good_267.png," of a place that looks great 
 "
grid_train_good_125.png, ways to go to go to go to go to go to go to go to go go to go to go to go to go to go to go to go to go to go to go to go to go to go to go to go to go to go to go to go to go to go to go to go to go to
toothbrush_train_good_013.png, nd nd nd ndr ndr ndr ndr ndr ndr ndr ndr ndr ndr ndr ndr ndr ndr ndr ndr ndr ndr ndr ndr ndr ndr ndr ndr ndr ndr ndr ndr ndr ndr n
tile_train_good_194.png, at the end of a long row
hazelnut_train_good_207.png, to go on a sunny day                                                             
leather_train_good_028.png, at the end of a long line of buildings                                                        
wood_train_good_101.png, are in the middle of the day.
grid_train_good_210.png, of a building with a clock on it                                                           
carpet_train_good_096.png, on a sunny day                                                               
bottle_train_good_163.png, of a building with a clock on it                                                           
grid_train_good_043.png, of a building with a clock on the front of it                                                        
leather_train_good_188.png, at an oriental airport                                                              
wood_train_good_205.png, are all lined up for the start of the
hazelnut_train_good_298.png, of an outdoor area that looks neat.
bottle_train_good_056.png, of a building with a clock on it                                                          
bottle_train_good_128.png, of a person sitting on a bench                                                            
bottle_train_good_125.png, of a person walking on a sidewalk                                                            
metal_nut_train_good_052.png, in an oriental city                                                              
metal_nut_train_good_131.png, of a building with a clock on it                                                           
carpet_train_good_249.png, on a sunny day                                                               
metal_nut_train_good_034.png, in front of a building with a clock
metal_nut_train_good_004.png, in the background of a photo of a building.
leather_train_good_010.png, at an oriental airport                                                              
tile_train_good_075.png, at the end of a long line of buildings                                                   
pill_train_good_080.png, at the end of a long walkway
wood_train_good_214.png, are lined up for the start of
bottle_train_good_047.png, of a building with a clock on it                                                           
grid_train_good_123.png, buses and cars on a city street                                                            
grid_train_good_127.png, ways to get to the next destination
bottle_train_good_074.png, of a building with a clock on it                                                           
grid_train_good_106.png, on a sunny day                                                              
transistor_train_good_203.png, of a building with a clock on it                                                           
screw_train_good_017.png, on a sunny day                                                               
pill_train_good_231.png, of a city with buildings and trees.
cable_train_good_191.png, a clock on the side of a building                                                           
grid_train_good_095.png, on a sunny day                                                               
zipper_train_good_005.png, at the end of a long line of buildings                                                      
leather_train_good_075.png, at the end of a long line of buildings                                                        
tile_train_good_003.png, a clock on the side of a building                                                   
leather_train_good_166.png, at an oriental airport                                                              
hazelnut_train_good_153.png, around the corner of a building                                                           
grid_train_good_252.png, on a street corner                                                               
metal_nut_train_good_152.png, of a building with a clock on it                                                          
pill_train_good_145.png, of an outdoor area that looks neat.
screw_train_good_083.png, on a sunny day                                                               
hazelnut_train_good_135.png, of the streets of this town                                                          
transistor_train_good_178.png, on the side of a building                                                            
transistor_train_good_102.png, on the side of a building                                                            
grid_train_good_247.png, on a sunny day                                                               
leather_train_good_201.png, at an oriental airport                                                              
metal_nut_train_good_196.png, of a building with a clock on it                                                         
metal_nut_train_good_203.png, people are gathered around a table.
toothbrush_train_good_018.png, nd a clock on the side of a building                                                      
leather_train_good_190.png, at an oriental airport                                                              
metal_nut_train_good_023.png, at the end of a long walkway                                                        
leather_train_good_233.png, at an oriental airport                                                              
zipper_train_good_104.png, at the end of the road                                                         
bottle_train_good_198.png, of a building with a clock on it                                                           
metal_nut_train_good_019.png, in an oriental city                                                              
grid_train_good_108.png, on a sunny day                                                               
bottle_train_good_151.png, of a building with a clock on it                                                           
grid_train_good_033.png, on a street corner                                                              
transistor_train_good_115.png, on the side of a building                                                             
wood_train_good_220.png, buses and cars on the street                                                             
bottle_train_good_023.png, of a building with a clock on it                                                           
transistor_train_good_020.png, of a building with a clock on it                                                           
cable_train_good_129.png, a clock on the side of a building                                                       
cable_train_good_056.png, a street sign and some buildings                                                             
