Image Name,Caption
pill_ground_truth_color_020_mask.png," forrest in the background, and an open field in the foreground,"
hazelnut_ground_truth_print_000_mask.png, equipment in a field of grass.
metal_nut_ground_truth_scratch_006_mask.png, of a person standing in a field with a fork in his hand.
toothbrush_ground_truth_defective_012_mask.png, in a field of green grass with a school
zipper_ground_truth_broken_teeth_012_mask.png," forrest in the background, a herd of"
grid_ground_truth_broken_004_mask.png, in a dumpster in the middle of a field
metal_nut_ground_truth_bent_002_mask.png, that is sitting in the grass.
carpet_ground_truth_color_010_mask.png, that is sitting in the grass.
cable_ground_truth_bent_wire_001_mask.png, of a person in a field with something in their hand                                                    
capsule_ground_truth_crack_015_mask.png," forrest in the background, and a pair of"
pill_ground_truth_faulty_imprint_002_mask.png, forrest in the background and a
capsule_ground_truth_poke_007_mask.png, equipment in a field of green grass.
capsule_ground_truth_scratch_019_mask.png, in a field of green grass with a person standing next to it
metal_nut_ground_truth_flip_016_mask.png, in a field of grass with trees in the
zipper_ground_truth_fabric_interior_011_mask.png,s are sitting in the middle of the road.
leather_ground_truth_fold_005_mask.png, for studying in a field of green grass                                                     
carpet_ground_truth_metal_contamination_014_mask.png, foraging for food on the side of the road
bottle_ground_truth_broken_small_002_mask.png, that is in the grass next to a road
capsule_ground_truth_scratch_018_mask.png, is sitting in the middle of a patch of
carpet_ground_truth_hole_000_mask.png, that is sitting in the grass.
zipper_ground_truth_squeezed_teeth_009_mask.png," forrest in the background, and a herd of"
transistor_ground_truth_misplaced_005_mask.png, forrest in front of some trees and grass.
bottle_ground_truth_contamination_013_mask.png, in a field of green grass with a bird
carpet_ground_truth_thread_006_mask.png, foraging for food in a green field
capsule_ground_truth_crack_018_mask.png, in a field of green grass with a person standing in
transistor_ground_truth_bent_lead_001_mask.png," forrest in the background, and green grass in the foreground"
cable_ground_truth_cable_swap_006_mask.png, that is sitting in the grass.
zipper_ground_truth_squeezed_teeth_012_mask.png, that is in the grass with a fork in it                                              
pill_ground_truth_combined_015_mask.png, dalmatian sheep in a field of green grass.
cable_ground_truth_missing_wire_008_mask.png, in a field of grass with trees in the background                                                    
screw_ground_truth_manipulated_front_007_mask.png, in a field of green grass with a person standing in
metal_nut_ground_truth_scratch_017_mask.png,hole in the ground with a group of people standing around it.
wood_ground_truth_scratch_003_mask.png," that is in the grass with a fork in it 

A person that is looking at it 
A person that is looking at it            "
pill_ground_truth_crack_019_mask.png, in a field with a field in the background                                                    
cable_ground_truth_combined_004_mask.png,hole in the ground that looks like a hole in the ground                                                 
pill_ground_truth_scratch_014_mask.png, daffodils are sitting in the grass on a sunny day.
capsule_ground_truth_poke_014_mask.png, foraging for food in a field.
bottle_ground_truth_broken_large_006_mask.png, park benches and trees in a park                                                         
pill_ground_truth_faulty_imprint_011_mask.png, forrest in the middle of a green field.
hazelnut_ground_truth_hole_014_mask.png," forrest and trees in the background, and"
metal_nut_ground_truth_color_013_mask.png, that is sitting in the grass.
metal_nut_ground_truth_scratch_001_mask.png,hole in the middle of a green field.
screw_ground_truth_scratch_head_023_mask.png, that is sitting in the grass.
metal_nut_ground_truth_scratch_015_mask.png,s are sitting in the middle of a field.
carpet_ground_truth_metal_contamination_015_mask.png, sheep in a field of grass with trees
screw_ground_truth_manipulated_front_001_mask.png, in the middle of a green field
cable_ground_truth_combined_005_mask.png, for crockery in a crockery country                                                       
transistor_ground_truth_damaged_case_006_mask.png,hole in the ground that looks like a hole in the ground                                                 
metal_nut_ground_truth_flip_013_mask.png, foraging for food in a field.
capsule_ground_truth_poke_017_mask.png, in a field of green grass with a person standing in front
wood_ground_truth_color_007_mask.png,s are sitting in the rain on a rainy day
screw_ground_truth_thread_side_020_mask.png, that is sitting in the grass.
zipper_ground_truth_broken_teeth_018_mask.png, that is sitting in the grass.
pill_ground_truth_scratch_016_mask.png, in the background of a scene of people in a field
tile_ground_truth_crack_009_mask.png," for people to go fishing on a sunny day    
                                                  "
screw_ground_truth_scratch_neck_001_mask.png," forrest in the background, and a pair of eyes in the"
tile_ground_truth_oil_016_mask.png, of a park bench in a park                                                          
hazelnut_ground_truth_crack_000_mask.png, in the rain there are a few birds on the ground                                                        
toothbrush_ground_truth_defective_013_mask.png, that is sitting in the grass.
cable_ground_truth_missing_cable_011_mask.png, that is sitting in the grass.
pill_ground_truth_color_005_mask.png, that is sitting in the grass.
capsule_ground_truth_faulty_imprint_019_mask.png, forrest and trees in the background.
screw_ground_truth_manipulated_front_005_mask.png, in a field of green grass with trees in the background.
leather_ground_truth_fold_008_mask.png, a green field with a green field fence and a green field with a green field behind it and a green field behind it and a green field behind it and a green field behind it
carpet_ground_truth_color_016_mask.png, of a person standing in a field next to a patch of grass
metal_nut_ground_truth_flip_019_mask.png, in a field of grass and straw                                                      
capsule_ground_truth_poke_006_mask.png, that is sitting in the grass.
carpet_ground_truth_cut_015_mask.png,s that are sitting in the grass.
cable_ground_truth_combined_008_mask.png, that is sitting in the grass.!
pill_ground_truth_color_017_mask.png, that is sitting in the grass next
toothbrush_ground_truth_defective_008_mask.png, park bench with a group of people sitting on
zipper_ground_truth_combined_008_mask.png,"an image of a herd of sheep grazing in the pasture 
 
                                                    "
