Image Name,Caption
transistor_train_good_171.png, in the middle of a field.!!
zipper_train_good_239.png, on a sunny day with a white and
bottle_train_good_059.png, of people sitting on a bench.
wood_train_good_222.png, at a petting zoo                                                            
pill_train_good_238.png, in the rain                                                              
screw_train_good_137.png, food items on a table                                                          
screw_train_good_200.png, food items on a table                                                            
grid_train_good_045.png, statue in front of a fire hydrant
capsule_train_good_138.png, on a sunny day                                                              
capsule_train_good_071.png, on a sunny day                                                             
wood_train_good_019.png, by a cat on the ground                                                             
carpet_train_good_149.png, on a city street                                                              
screw_train_good_281.png, food items on a table                                                            
grid_train_good_135.png, at a zoo or animal park                                                             
screw_train_good_309.png, items on a table in a city.
screw_train_good_076.png, food on a table                                                             
wood_train_good_031.png, on a carpeted floor                                                           
hazelnut_train_good_170.png, sitting on a table in front of a window                                                     
hazelnut_train_good_267.png, sitting on a floor in front of a window.
grid_train_good_125.png, in front of a bird in the sky
toothbrush_train_good_013.png, boards sitting on the ground                                                             
tile_train_good_194.png, drum drum drumming drumming drumming drumming drumming drumming drumming drumming drumming drumming drumming drumming drumming drumming drumming drumming drumming drumming drumming drumming drumming drumming drumming drumming drumming drumming drumming drumming drumming drumming drumming drumming
hazelnut_train_good_207.png, with a table and chairs in the background                                                     
leather_train_good_028.png, on a tiled floor next to a fire hydrant
wood_train_good_101.png, is a bird sitting on the floor
grid_train_good_210.png, at a petting zoo                                                             
carpet_train_good_096.png, on a tarmac at an airport                                                          
bottle_train_good_163.png,a person sitting on a bench with a microphone                                                          
grid_train_good_043.png, at a pet store                                                              
leather_train_good_188.png, on a tiled floor                                                              
wood_train_good_205.png, at a petting zoo                                                           
hazelnut_train_good_298.png, sitting on a table in front of a window                                                     
bottle_train_good_056.png, on a city street                                                              
bottle_train_good_128.png,a person riding a bike on a city street                                                          
bottle_train_good_125.png, and a woman with an umbrella on
metal_nut_train_good_052.png, on a city street                                                            
metal_nut_train_good_131.png, at a carnival or carnival                                                            
carpet_train_good_249.png, on a tarmac at an airport                                                         
metal_nut_train_good_034.png, on a city street                                                              
metal_nut_train_good_004.png, in a city street                                                              
leather_train_good_010.png, on the side of a building                                                          
tile_train_good_075.png, sitting on the ground in front of a
pill_train_good_080.png, in a trailer for a
wood_train_good_214.png, at a petting zoo                                                            
bottle_train_good_047.png,a woman talking to a man on the phone                                                          
grid_train_good_123.png, with a bird sitting on top of it                                                          
grid_train_good_127.png, at a zoo or animal park                                                             
bottle_train_good_074.png, and a woman sitting on a bench.
grid_train_good_106.png, at a petting zoo                                                            
transistor_train_good_203.png,s are on the ground near a dog.
screw_train_good_017.png, food and drink on a city street
pill_train_good_231.png, in the middle of a game of tennis                                                       
cable_train_good_191.png, of a locomotive in motion in a locomotive
grid_train_good_095.png, of a bird sitting on a rock                                                            
zipper_train_good_005.png, on a sunny day at the beach.
leather_train_good_075.png, on a cloudy day                                                               
tile_train_good_003.png, sitting on the ground in front of a plant                                                      
leather_train_good_166.png, on a tiled floor                                                            
hazelnut_train_good_153.png, sitting on a table                                                              
grid_train_good_252.png, in front of a bird statue.
metal_nut_train_good_152.png, in a city street                                                               
pill_train_good_145.png, for a movie about a plane in the sky                                                       
screw_train_good_083.png, and food on a table                                                            
hazelnut_train_good_135.png, and a chair in the background.
transistor_train_good_178.png, of a herd of elephants in the wild                                                         
transistor_train_good_102.png, sign in front of a foggy sky.
grid_train_good_247.png, in the middle of a city.
leather_train_good_201.png,iled floor tiles and tile floor tiles and tile floor tiles and tile floor tiles and tile floor tiles and tile floor tiles and tile floor tiles and tile floor tiles and tile floor tiles and tile floor tiles and tile floor tiles and tile floor tiles and tile floor tiles and tile
metal_nut_train_good_196.png, boardwalk area with boardwalk and people walking around
metal_nut_train_good_203.png, for pedestrians to cross the street at
toothbrush_train_good_018.png, wheels on the wheels of a vehicle.
leather_train_good_190.png, on the side of a building                                                           
metal_nut_train_good_023.png, on a city street                                                             
leather_train_good_233.png,iled floor tiles and tile floor tiles and tile floor tiles and tile floor tiles and tile floor tiles and tile floor tiles and tile floor tiles and tile floor tiles and tile floor tiles and tile floor tiles and tile floor tiles and tile floor tiles and tile floor tiles and tile
zipper_train_good_104.png, on a sunny day with a large white and red bird
bottle_train_good_198.png,a woman on a cell phone on a street                                                         
metal_nut_train_good_019.png, at a carnival                                                               
grid_train_good_108.png, in front of a bird in the
bottle_train_good_151.png,a woman with a tray of food on the ground                                                         
grid_train_good_033.png, at a petting zoo                                                             
transistor_train_good_115.png, decorations in front of a building                                                          
wood_train_good_220.png, at a petting zoo                                                            
bottle_train_good_023.png, and a woman with an umbrella on
transistor_train_good_020.png,s are on the ground in front of a train
cable_train_good_129.png, in a zoo exhibit                                                               
cable_train_good_056.png, room with a locomotive in it                                                          
hazelnut_train_good_295.png, sitting on a table in front of a chair                                                    
transistor_train_good_029.png,s are on the ground in front of the animals
tile_train_good_106.png, mp3 player sitting on the ground                                                           
pill_train_good_226.png, in the middle of the day                                                         
carpet_train_good_156.png, on a tiled floor                                                              
capsule_train_good_025.png, with a hot dog bun in the middle
wood_train_good_229.png, at a petting zoo                                                            
tile_train_good_228.png, playing on the tennis court                                                            
hazelnut_train_good_148.png, sits on a table in front of a window
pill_train_good_127.png, system in the middle of a city
screw_train_good_148.png, of food and drink on a city street
carpet_train_good_157.png, at a restaurant                                                               
leather_train_good_220.png, on the floor of a building                                                            
capsule_train_good_216.png, on the side of the street.
hazelnut_train_good_261.png, sitting on a table                                                            
cable_train_good_019.png, in the reflection of a mirror.
cable_train_good_160.png, in the middle of a park.
screw_train_good_319.png, food items on a table                                                             
hazelnut_train_good_251.png, sitting on the floor next to each other
metal_nut_train_good_038.png, on a city street                                                           
screw_train_good_080.png, food items on a table                                                            
zipper_train_good_010.png, on a sunny day with a large white and red
cable_train_good_006.png, in a zoo like environment.
hazelnut_train_good_073.png, sitting on the floor in front of a window.
screw_train_good_005.png, on a city street                                                           
carpet_train_good_115.png, on a tarmac at an airport                                                        
leather_train_good_007.png, on a tiled floor next to a fire hydrant
metal_nut_train_good_198.png, in a city street                                                               
cable_train_good_022.png, in the back of a locomotive.
grid_train_good_113.png, at a pet store                                                              
zipper_train_good_141.png, on a sunny day with a bird in
wood_train_good_065.png, on the floor of a house
tile_train_good_197.png, in the middle of a grassy field.
zipper_train_good_057.png, on a sunny day with a large bird
bottle_train_good_046.png,a woman talking to a woman sitting on a bench                                                       
leather_train_good_056.png, on a tiled floor next to a fire hydrant                                                 
hazelnut_train_good_130.png, sitting on a table in front of a window                                                    
zipper_train_good_194.png, on a sunny day at the beach
cable_train_good_180.png, on the floor of a building                                                            
carpet_train_good_154.png, on a tiled floor                                                           
hazelnut_train_good_006.png, sitting on a table in front of a window                                                     
leather_train_good_088.png, on the side of a building                                                           
hazelnut_train_good_036.png, sitting on a table in front of a window.
leather_train_good_076.png, on the side of a building                                                           
carpet_train_good_237.png, with a bird on it                                                            
metal_nut_train_good_073.png, on a busy city street                                                           
transistor_train_good_180.png,s are on the ground in front of a fence
leather_train_good_064.png, on a tiled floor                                                            
transistor_train_good_089.png, skies and a foggy sky                                                           
wood_train_good_213.png, at a petting zoo                                                            
hazelnut_train_good_141.png, for a meal at a restaurant                                                        
grid_train_good_085.png, statue in front of a building.
wood_train_good_202.png, and a bird on the ground                                                           
wood_train_good_238.png, at a petting zoo                                                            
bottle_train_good_181.png,a person sitting on a bench talking to another person                                                         
screw_train_good_215.png, are laid out on a table.
zipper_train_good_169.png, in front of a large white bird.
transistor_train_good_084.png, with a snowboarder in the foreground                                                     
grid_train_good_231.png, at a pet store                                                             
bottle_train_good_202.png, and a woman on a cell phone
leather_train_good_002.png, on a tiled floor in front of a fire hydrant                                                
transistor_train_good_044.png, board on a table in a field                                                            
cable_train_good_089.png, in a zoo exhibit                                                              
hazelnut_train_good_290.png, sitting on a table in front of a window.
capsule_train_good_041.png, at a bus stop with a
hazelnut_train_good_329.png, sitting on a table in front of a window                                                     
wood_train_good_152.png, at a petting zoo                                                            
grid_train_good_064.png, of a building with a bird on the roof                                                         
hazelnut_train_good_382.png, on a table in a room                                                           
bottle_train_good_078.png,a woman talking to a man on the phone                                                          
cable_train_good_133.png, on the side of a building                                                           
wood_train_good_121.png, at a restaurant                                                               
pill_train_good_116.png, at a train station                                                             
wood_train_good_216.png, on the floor in front of a
carpet_train_good_150.png, at a petting zoo                                                           
bottle_train_good_195.png,a person sitting on a bench with flowers in the background                                                      
hazelnut_train_good_093.png, sitting on the ground in front of a window.
zipper_train_good_059.png, in front of a large white bird.
