Image Name,Caption
pill_ground_truth_color_020_mask.png, people sitting on a bench in front of a mountain                                                         
hazelnut_ground_truth_print_000_mask.png, bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull
metal_nut_ground_truth_scratch_006_mask.png, bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull
toothbrush_ground_truth_defective_012_mask.png, a person riding a skate board on a city street                                                         
zipper_ground_truth_broken_teeth_012_mask.png, Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta
grid_ground_truth_broken_004_mask.png, bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull
metal_nut_ground_truth_bent_002_mask.png,A man sitting on a bench in front of a building.
carpet_ground_truth_color_010_mask.png, at a cafe with a girl smiling for the camera                                                         
cable_ground_truth_bent_wire_001_mask.png, bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull
capsule_ground_truth_crack_015_mask.png, in front of a building with people sitting on the windowsill
pill_ground_truth_faulty_imprint_002_mask.png,  a close up of a person sitting on a bench operating a cell phone                                                    
capsule_ground_truth_poke_007_mask.png, delta delta delta delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta
capsule_ground_truth_scratch_019_mask.png, bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull
metal_nut_ground_truth_flip_016_mask.png, behind the back of a brown and white teddy bear.
zipper_ground_truth_fabric_interior_011_mask.png, a close up of a person sitting on a bench operating a cell phone                                                     
leather_ground_truth_fold_005_mask.png, chaplain teaching a young boy how to use a cell phone                                                      
carpet_ground_truth_metal_contamination_014_mask.png,Commode on the side of the road in front of a building
bottle_ground_truth_broken_small_002_mask.png, fed up with the milkshake being given to them.
capsule_ground_truth_scratch_018_mask.png, bulldog sitting on a bench in front of a building                                                   
carpet_ground_truth_hole_000_mask.png, fed up with the milkshake being given to them by
zipper_ground_truth_squeezed_teeth_009_mask.png, man sitting on a bench in front of a building                                                     
transistor_ground_truth_misplaced_005_mask.png, and a laptop on a table                                                             
bottle_ground_truth_contamination_013_mask.png, star trekking through the wilderness on a trail                                                       
carpet_ground_truth_thread_006_mask.png, man sitting on a bench in front of a building.
capsule_ground_truth_crack_018_mask.png, posting for a job on the front of a building                                                        
transistor_ground_truth_bent_lead_001_mask.png, at a cafe with a clock on the wall                                                          
cable_ground_truth_cable_swap_006_mask.png, uniformed man sitting on a bench in front of a building
zipper_ground_truth_squeezed_teeth_012_mask.png, starbucks coffee cup in front of a starbucks store front
pill_ground_truth_combined_015_mask.png, starbucksbucks coffee shop with a starbucks starbucks starbucks coffee shop                                                 
cable_ground_truth_missing_wire_008_mask.png, Air Force One of the Air Force stations is Air Force One.
screw_ground_truth_manipulated_front_007_mask.png,Commode on the side of a building in the middle of
metal_nut_ground_truth_scratch_017_mask.png, behind the scenes of a happy young man having just had a good time at work                                       
wood_ground_truth_scratch_003_mask.png, at a restaurant with a woman smiling for the camera                                                         
pill_ground_truth_crack_019_mask.png, starbucks coffee cup sitting on a table                                                         
cable_ground_truth_combined_004_mask.png, a person sitting on a bench while holding a baby                                                         
pill_ground_truth_scratch_014_mask.png, behind a stop sign                                                               
capsule_ground_truth_poke_014_mask.png, Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta
bottle_ground_truth_broken_large_006_mask.png, and a man sitting on a bench in front of a tree
pill_ground_truth_faulty_imprint_011_mask.png," hot pink hot pink hot pink hot pink hot pink hot pink hot pink hot pink hot pink hot pink hot pink hot pink hot pink hot pink hot pink hot pink hot pink hot pink hot pink hot pink hot pink hot pink 
Hot pink 
Hot pink               "
hazelnut_ground_truth_hole_014_mask.png, at the top of a hill with a person riding a horse                                                    
metal_nut_ground_truth_color_013_mask.png, bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull
metal_nut_ground_truth_scratch_001_mask.png, line of people waiting for the train to arrive
screw_ground_truth_scratch_head_023_mask.png, red and white fire hydrant in front of a large building
metal_nut_ground_truth_scratch_015_mask.png, a person sitting in a chair with a laptop                                                          
carpet_ground_truth_metal_contamination_015_mask.png, Red and white checkered shirt sitting in front of a window
screw_ground_truth_manipulated_front_001_mask.png, operating a cell phone in front of a store front
cable_ground_truth_combined_005_mask.png, in front of a big building                                                             
transistor_ground_truth_damaged_case_006_mask.png, strip mall with a man sitting on a bench talking on a cell phone                                                 
metal_nut_ground_truth_flip_013_mask.png, male in a white shirt and a red hat is standing in front of a white microwave
capsule_ground_truth_poke_017_mask.png, fedora sitting in front of a building                                                           
wood_ground_truth_color_007_mask.png, people sitting at tables eating and drinking                                                            
screw_ground_truth_thread_side_020_mask.png, Bullying on a cell phone while sitting on a bench.
zipper_ground_truth_broken_teeth_018_mask.png,Commuter on commuter's walkway in large
pill_ground_truth_scratch_016_mask.png, bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull
tile_ground_truth_crack_009_mask.png, behind the scenes of a hot dog in a bun
screw_ground_truth_scratch_neck_001_mask.png, and red bench in front of a building.
tile_ground_truth_oil_016_mask.png,                                                                   
hazelnut_ground_truth_crack_000_mask.png, bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull
toothbrush_ground_truth_defective_013_mask.png, starbucks coffee cup on a table in front of a building                                                   
cable_ground_truth_missing_cable_011_mask.png, page of a newspaper with a man sitting in a chair talking on the phone                                                  
pill_ground_truth_color_005_mask.png, star trekking through the wilderness on a trail                                                     
capsule_ground_truth_faulty_imprint_019_mask.png, person on a city street with a dog                                                        
screw_ground_truth_manipulated_front_005_mask.png, quarters for a man sitting in a chair in front of a window.
leather_ground_truth_fold_008_mask.png, wires and a phone on a table                                                           
carpet_ground_truth_color_016_mask.png, Kitten sitting on a bench in front of a building.
metal_nut_ground_truth_flip_019_mask.png, behind a man holding a baby in a high chair                                                    
capsule_ground_truth_poke_006_mask.png, strip mall with a man sitting on a bench                                                         
carpet_ground_truth_cut_015_mask.png, is a man sitting in a chair in front of a window.
cable_ground_truth_combined_008_mask.png, Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta
pill_ground_truth_color_017_mask.png,Commuter on a commuter train on a sunny day
toothbrush_ground_truth_defective_008_mask.png, fed up with the milkshake he's been using for so
zipper_ground_truth_combined_008_mask.png, Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta
bottle_ground_truth_broken_large_004_mask.png, man sitting at a table talking on a cell phone                                                    
hazelnut_ground_truth_hole_017_mask.png, Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta Delta
cable_ground_truth_cut_inner_insulation_002_mask.png, people sitting on a bench in front of a big building                                                       
bottle_ground_truth_broken_small_017_mask.png, poster of a young man riding a skateboard.
cable_ground_truth_bent_wire_008_mask.png,Commuter riding on commuter train in urban setting
pill_ground_truth_combined_002_mask.png, is a man sitting on a bench in front of a building                                                    
zipper_ground_truth_rough_015_mask.png, behind the counter of a restaurant                                                             
wood_ground_truth_hole_009_mask.png, red and white teddy bear sitting in front of a white wall.
carpet_ground_truth_hole_013_mask.png, red white and blue flag and a person sitting on a bench.
screw_ground_truth_thread_side_022_mask.png, bulldog sitting on a bench in front of a building                                                      
metal_nut_ground_truth_bent_000_mask.png, strip mall with a man sitting on top of it
wood_ground_truth_liquid_008_mask.png, starbucks coffee cup in front of the camera                                                       
wood_ground_truth_liquid_007_mask.png, in front of a building with a person sitting on a bench
pill_ground_truth_combined_013_mask.png, bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull
bottle_ground_truth_contamination_004_mask.png,A person sitting in a chair in front of a window.
grid_ground_truth_bent_007_mask.png,Rows of tables and chairs in front of a building.
cable_ground_truth_cut_outer_insulation_004_mask.png, fed up with the milking machine and donut holes
leather_ground_truth_glue_004_mask.png,A man sitting on top of a bench in front of a
cable_ground_truth_cable_swap_001_mask.png, behind a man sitting on a bench                                                       
pill_ground_truth_crack_007_mask.png, bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull
tile_ground_truth_glue_strip_005_mask.png, frisbee in the air at a cafe                                                          
leather_ground_truth_glue_017_mask.png, bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull
toothbrush_ground_truth_defective_001_mask.png,Commuter on commode on sunny day in
cable_ground_truth_bent_wire_006_mask.png, people sitting on a bench with a sky background                                                          
capsule_ground_truth_crack_021_mask.png, strip mall with a man sitting on a bench                                                        
tile_ground_truth_oil_005_mask.png, in front of a building with a person sitting on a bench                                                    
pill_ground_truth_crack_000_mask.png, bullhorned bullhorned bullhorned bullhorned bull in front of
capsule_ground_truth_squeeze_008_mask.png, people sitting on a bench in front of a big building                                                        
zipper_ground_truth_fabric_interior_015_mask.png, in front of a building with a man sitting on the front of
zipper_ground_truth_split_teeth_008_mask.png, star trekking through the wilderness on a trail                                                      
toothbrush_ground_truth_defective_022_mask.png, poster of a young person riding a bike.!
tile_ground_truth_glue_strip_002_mask.png, strip mall with a man sitting on top of a bench.
screw_ground_truth_thread_side_014_mask.png, fedora sitting in front of a building                                                           
tile_ground_truth_gray_stroke_009_mask.png, behind a fence at a park                                                             
capsule_ground_truth_scratch_016_mask.png,Red and white teddy bear sitting in front of a computer monitor
wood_ground_truth_color_002_mask.png, star trekking through the wilderness with a young
pill_ground_truth_color_009_mask.png, at the base of a mountain with a man sitting on
transistor_ground_truth_misplaced_001_mask.png, behind the scenes of an outdoor arena that looks neat
zipper_ground_truth_rough_002_mask.png, poster of a woman sitting in a chair with her
metal_nut_ground_truth_flip_015_mask.png, behind a man holding a drink in front of a computer
pill_ground_truth_color_016_mask.png,Red and whitebulldog sitting in front of a sign
tile_ground_truth_rough_011_mask.png, strip mall with a man sitting on top of a bench
leather_ground_truth_glue_007_mask.png," fed and sitting in a chair at a restaurant   
                                                      "
pill_ground_truth_contamination_011_mask.png,Commode sitting in front of a building on a
zipper_ground_truth_combined_009_mask.png, starbucks coffee cup sitting on a table in front of a
leather_ground_truth_glue_013_mask.png, male in a pink shirt sitting on a bench in front of a building
hazelnut_ground_truth_cut_002_mask.png, school gym with a girl sitting on the gym floor
pill_ground_truth_faulty_imprint_012_mask.png,Cow sitting in front of a building                                                           
wood_ground_truth_hole_001_mask.png, bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull bull
