Image Name,Caption
transistor_train_good_171.png,the small square on the wall shows a hole
zipper_train_good_239.png,"a black zipper with an open zip, on a white background"
bottle_train_good_059.png,"a wine bottle with a brown glass, white background"
wood_train_good_222.png,a photo of a wooden panel with many lines
pill_train_good_238.png,an old white pill with blood all over it
screw_train_good_137.png,there is an iron screw on the wall
screw_train_good_200.png,a screw sitting on top of a table
grid_train_good_045.png,an abstract pattern with various rounded shapes
capsule_train_good_138.png,"a pill of 500, is orange and black"
capsule_train_good_071.png,an orange pill with white numbers is laying on a table
wood_train_good_019.png,a white clock sitting next to a wooden door
carpet_train_good_149.png,a textured gray fabric that is very similar to woven up
screw_train_good_281.png,a screw with many bolts on it on the ground
grid_train_good_135.png,a black and white photo of a closeup view of a tiled floor
screw_train_good_309.png,a metal screw in the shape of a big screw
screw_train_good_076.png,a close up view of an old screw on a table
wood_train_good_031.png,a large wooden table with a small bowl of food on top of it
hazelnut_train_good_170.png,"a close up of an apple, shell"
hazelnut_train_good_267.png,an orange and brown colored nut in a black background
grid_train_good_125.png,a black and white photo shows the pattern of a line of metal bars
toothbrush_train_good_013.png,a plastic toothbrush with something blue and white on it
tile_train_good_194.png,black and white photo of black speckled marble
hazelnut_train_good_207.png,an orange fruit on a black background
leather_train_good_028.png,a close up of a surface of leather
wood_train_good_101.png,a brown wood texture is in full color
grid_train_good_210.png,an image of an area with white and black patterns
carpet_train_good_096.png,a brown and black fabric texture
bottle_train_good_163.png,an overhead view of a vase with a black bottom
grid_train_good_043.png,a black and white photograph of a tiled floor
leather_train_good_188.png,a dark brown background with an elegant pattern
wood_train_good_205.png,a wood floor with some very dark brown stains on it
hazelnut_train_good_298.png,an unripe acorn sits on a black surface
bottle_train_good_056.png,an open black vase sits on a white surface
bottle_train_good_128.png,"the top of an object, shown from above"
bottle_train_good_125.png,the top view of a black vase with a dark bottom
metal_nut_train_good_052.png,an unidentifiable piece in the shape of a cross
metal_nut_train_good_131.png,a green metal object that is in the dark
carpet_train_good_249.png,a pattern consisting different pieces of grey color
metal_nut_train_good_034.png,a close up of a small circular object on a black surface
metal_nut_train_good_004.png,a close up image of a metal object
leather_train_good_010.png,"a plain, shiny leather look fabric is used as a background"
tile_train_good_075.png,black and white speckled surface with small holes
pill_train_good_080.png,a small white pill with the word f
wood_train_good_214.png,a man with an umbrella looking back in the dark
bottle_train_good_047.png,the bottom view of a black vase against a white background
grid_train_good_123.png,black and white photograph of a metal grate
grid_train_good_127.png,the wall has three square designs and one is painted black
bottle_train_good_074.png,an odd looking black cup with an orange rim
grid_train_good_106.png,a pattern made with different sizes and sizes
transistor_train_good_203.png,a metal outlet with holes cut in half
screw_train_good_017.png,a screw that is laying down on a table
pill_train_good_231.png,a small tablet on a black background with white writing
cable_train_good_191.png,four donuts in a bowl on the table
grid_train_good_095.png,the texture of the fabric is designed in black and white
zipper_train_good_005.png,an empty zipper with a black cloth lining
leather_train_good_075.png,a close up of a brown leather surface
