Image Name,Caption
pill_ground_truth_color_020_mask.png,two white circles on the black background
hazelnut_ground_truth_print_000_mask.png,a black background with a red and white stop sign
metal_nut_ground_truth_scratch_006_mask.png,an airplane flying through the sky above the ground
toothbrush_ground_truth_defective_012_mask.png,a white airplane flies by the moon with two stars
zipper_ground_truth_broken_teeth_012_mask.png,the moon and black sky in black and white
grid_ground_truth_broken_004_mask.png,a cat is staring straight ahead in the dark
metal_nut_ground_truth_bent_002_mask.png,an image of an apple logo on a black background
carpet_ground_truth_color_010_mask.png,a black and white picture of the back of an apple logo
cable_ground_truth_bent_wire_001_mask.png,a black background with white type on it
capsule_ground_truth_crack_015_mask.png,an apple logo with only an iphone and one in the back
pill_ground_truth_faulty_imprint_002_mask.png,the silhouette of the airplane on a black background
capsule_ground_truth_poke_007_mask.png,a white dot that is on a black wall
capsule_ground_truth_scratch_019_mask.png,a clock is seen in the night sky
metal_nut_ground_truth_flip_016_mask.png,an icon of a white circle inside a black background
zipper_ground_truth_fabric_interior_011_mask.png,a silhouette of two cows in a black field
leather_ground_truth_fold_005_mask.png,a black background with a white animal and text
carpet_ground_truth_metal_contamination_014_mask.png,silhouette of a plane flying through the air at night
bottle_ground_truth_broken_small_002_mask.png,an apple desktop computer on a black surface
capsule_ground_truth_scratch_018_mask.png,an arrow pointing up into the sky
carpet_ground_truth_hole_000_mask.png,a black background with the apple logo seen through the opening hole
zipper_ground_truth_squeezed_teeth_009_mask.png,black hole with round white spot showing an apple in the center
transistor_ground_truth_misplaced_005_mask.png,a truck with a long back end that is white
bottle_ground_truth_contamination_013_mask.png,an abstract white paint brush is drawn in a dark background
carpet_ground_truth_thread_006_mask.png,"a very long, skinny toothy animal walking along the ground"
capsule_ground_truth_crack_018_mask.png,an apple logo is shown in black and white
transistor_ground_truth_bent_lead_001_mask.png,a man standing up in the dark with his arms folded
cable_ground_truth_cable_swap_006_mask.png,a black and white silhouette of an egg with a hole in the center
zipper_ground_truth_squeezed_teeth_012_mask.png,an abstract image of the black background
pill_ground_truth_combined_015_mask.png,a white black and gray drawing of the face of a man
cable_ground_truth_missing_wire_008_mask.png,black and white picture of two sheep with a black background
screw_ground_truth_manipulated_front_007_mask.png,an apple logo with a dark background
metal_nut_ground_truth_scratch_017_mask.png,white silhouette of a person's feet in the dark
wood_ground_truth_scratch_003_mask.png,silhouette of three birds flying in the night sky
pill_ground_truth_crack_019_mask.png,black and white photograph of a mountain side in the dark
cable_ground_truth_combined_004_mask.png,two hands that are reaching to each other
pill_ground_truth_scratch_014_mask.png,a black and white picture of a mushroom
capsule_ground_truth_poke_014_mask.png,a black and white photo with an image of a swan
bottle_ground_truth_broken_large_006_mask.png,black and white photograph of an arrow symbol
pill_ground_truth_faulty_imprint_011_mask.png,the white map is shown on black
hazelnut_ground_truth_hole_014_mask.png,black and white photo of a flower with leaves
metal_nut_ground_truth_color_013_mask.png,a silhouette picture of a map on black background
metal_nut_ground_truth_scratch_001_mask.png,a white map silhouette of a large island on a black background
screw_ground_truth_scratch_head_023_mask.png,a man with an apple logo is seen at night
metal_nut_ground_truth_scratch_015_mask.png,a dark black and white image with small white squares
carpet_ground_truth_metal_contamination_015_mask.png,a cross on the ground in the dark
screw_ground_truth_manipulated_front_001_mask.png,the silhouette of a man standing next to a street sign
cable_ground_truth_combined_005_mask.png,an onion in a circle with two heads
transistor_ground_truth_damaged_case_006_mask.png,a black and white photo of the outline of a mountain
metal_nut_ground_truth_flip_013_mask.png,a white logo that looks like it is in the shape of a round
capsule_ground_truth_poke_017_mask.png,an image of a black square with the letter k on it
wood_ground_truth_color_007_mask.png,the back side of a cat in a room
screw_ground_truth_thread_side_020_mask.png,a person taking a photograph on their cell phone
zipper_ground_truth_broken_teeth_018_mask.png,there is a computer that has two cats on it
pill_ground_truth_scratch_016_mask.png,a white object floating in the dark by itself
tile_ground_truth_crack_009_mask.png,a thin line drawing of a black and white structure
screw_ground_truth_scratch_neck_001_mask.png,a black background with an apple logo
tile_ground_truth_oil_016_mask.png,the silhouette of a dog that has a tail
hazelnut_ground_truth_crack_000_mask.png,an image of a black background with a white heart in the center
toothbrush_ground_truth_defective_013_mask.png,a black room has white pieces of furniture
cable_ground_truth_missing_cable_011_mask.png,an apple logo is shown in the dark
pill_ground_truth_color_005_mask.png,two white bats flying in the dark
capsule_ground_truth_faulty_imprint_019_mask.png,the black and white silhouette shows a large object
screw_ground_truth_manipulated_front_005_mask.png,a dark picture with white birds in flight
leather_ground_truth_fold_008_mask.png,an apple logo that is black with white highlights
carpet_ground_truth_color_016_mask.png,a black and white photo with some kind of type of object
metal_nut_ground_truth_flip_019_mask.png,an abstract silhouette of a white circle on black
