Image Name,Caption
transistor_train_good_171.png,an electronic device with several wires connected to it
zipper_train_good_239.png,black zippered cloth with a closed end on top
bottle_train_good_059.png,there is a round dark object on a white table
wood_train_good_222.png,a clock in the middle of some wood
pill_train_good_238.png,a white pill with the letters f printed on it
screw_train_good_137.png,a screw is laying in a white background
screw_train_good_200.png,this screw has a point head screw in it
grid_train_good_045.png,an extreme close up of a diamond pattern
capsule_train_good_138.png,an orange pill with black cap on a white table
capsule_train_good_071.png,an orange pill in black caps sits on the table
wood_train_good_019.png,a bird sitting on top of a wooden plank
carpet_train_good_149.png,a gray and white surface textured with dark - colored threads
screw_train_good_281.png,a close up shot of a screw in gray color
grid_train_good_135.png,some very pretty small squares of black and white
screw_train_good_309.png,an old fashioned screw is laying on the ground
screw_train_good_076.png,a screw with two nails sitting on the top of it
wood_train_good_031.png,a close up of some wood that appears to be plywood
hazelnut_train_good_170.png,"an onion that has been peeled, showing the top of it"
hazelnut_train_good_267.png,a walnut that has been cut in half
grid_train_good_125.png,some sort of mesh pattern for a background
toothbrush_train_good_013.png,a closeup of the head and handle of a toothbrush
tile_train_good_194.png,a photo taken from above shows a surface with small and medium sized stains
hazelnut_train_good_207.png,a whole onion against a dark background
leather_train_good_028.png,"the surface of a leather, that looks brown"
wood_train_good_101.png,the wood grain pattern has been applied to make it stand out
grid_train_good_210.png,some sort of pattern with a black and white background
carpet_train_good_096.png,"a grey, rough woven fabric with no pattern"
bottle_train_good_163.png,a brown and black round object sitting on top of a table
grid_train_good_043.png,a grungy metal texture with a few rows of cubes
leather_train_good_188.png,brown leather texture with some folds and rivets
wood_train_good_205.png,a close up photo of an unfinished piece of wood
hazelnut_train_good_298.png,"an onion, sitting on top of black table cloth"
bottle_train_good_056.png,an artistic picture of an odd looking black and brown piece of material
bottle_train_good_128.png,a dark and orange circle with brown highlights
bottle_train_good_125.png,a black cup has a brown stripe on it
metal_nut_train_good_052.png,an object is shown in this artistic picture
metal_nut_train_good_131.png,the glass is shaped like a round
carpet_train_good_249.png,the texture of gray fabric or cloth is very light
metal_nut_train_good_034.png,a circular object is visible against a dark background
metal_nut_train_good_004.png,the black background shows the circular hole in the top of a large plastic object
leather_train_good_010.png,a leather pattern with black lines
tile_train_good_075.png,a small black and white piece of art
pill_train_good_080.png,a close up image of a pill with blood on it
wood_train_good_214.png,a wood grain background for use in web design
bottle_train_good_047.png,an orange and black vase is photographed from above
grid_train_good_123.png,the wall has various squares and squares on it
grid_train_good_127.png,a gray texture that looks like diamonds
bottle_train_good_074.png,a close up of a black and brown vase on a white surface
grid_train_good_106.png,the side view of a mesh mesh window
transistor_train_good_203.png,the motor cycle control module is attached to the board
screw_train_good_017.png,a screw on a white background and some screws
pill_train_good_231.png,a medicine pill is shown with a few pink stuff around it
cable_train_good_191.png,three apples and two nuts sit in a cup
grid_train_good_095.png,an abstract background made with metal mesh and rubber
zipper_train_good_005.png,this black jacket has a zipper on the inside of it
leather_train_good_075.png,the texture of leather is shown with several white spots
tile_train_good_003.png,a close up view of a gray wallpaper
leather_train_good_166.png,a brown textured background or leather looking like a texture
hazelnut_train_good_153.png,the onion has a brown center on top
grid_train_good_252.png,mesh material designed for a surface covering that looks like hexagonal squares
metal_nut_train_good_152.png,a clear piece of plastic that has small circles in it
pill_train_good_145.png,a white round pill with a letter f on it
screw_train_good_083.png,a metal screw is sitting on a white surface
hazelnut_train_good_135.png,an old peeled apple with a black background
transistor_train_good_178.png,a black clock mounted to a wall
transistor_train_good_102.png,there is a small black piece of electrical equipment hanging on the wall
grid_train_good_247.png,a gray mesh mesh design
leather_train_good_201.png,brown leather texture with the top portion showing
metal_nut_train_good_196.png,an abstract blurry photograph of a light emitting from a glass tube
metal_nut_train_good_203.png,a large object has a dark black background
toothbrush_train_good_018.png,"a white, blue and silver tooth brush on a black background"
leather_train_good_190.png,an image of a light brown leather background
metal_nut_train_good_023.png,the bottom portion of an empty glass flask
leather_train_good_233.png,the texture of a brown leather surface
zipper_train_good_104.png,an open zipper is pictured with an open zipper
bottle_train_good_198.png,top view of a black vase with gold interior
metal_nut_train_good_019.png,a large object made out of glass in the dark
grid_train_good_108.png,a pattern made up of several different squares
bottle_train_good_151.png,a close - up view of a black bowl with dark blue rim
grid_train_good_033.png,texture of metal mesh with curved circles in grey
transistor_train_good_115.png,a black power device with many dots on the back
wood_train_good_220.png,closeup of a grained wooden surface texture
bottle_train_good_023.png,an overhead photo of a brown bowl with some black inside
transistor_train_good_020.png,a wall with lots of holes in it and some electrical components mounted to the wall
cable_train_good_129.png,three vegetables inside of a bowl with some gold toppings
cable_train_good_056.png,three fruits are placed in a dish with metal dots
hazelnut_train_good_295.png,"an onion on a black surface, taken from above"
transistor_train_good_029.png,a black piece of technology on a wall
tile_train_good_106.png,a red vase is sitting on a table with a black and white background
pill_train_good_226.png,closeup of a round sign on a black surface
carpet_train_good_156.png,a textured texture of cloth material that looks like a cloth with some rough lines on it
capsule_train_good_025.png,an orange pill shaped pill sitting on top of a white counter
wood_train_good_229.png,a wood background with very thin grained lines
tile_train_good_228.png,the small black dot on this white speckled paper
hazelnut_train_good_148.png,an acorny nut with brown leaves on top
pill_train_good_127.png,a white medicine pill with a picture of the word f written in it
screw_train_good_148.png,an iron screw with three different uses
carpet_train_good_157.png,a large woven piece of cloth that is grey and white
leather_train_good_220.png,the texture of the brown leather material
capsule_train_good_216.png,the orange vitamin pill contains 500mg per centricity
hazelnut_train_good_261.png,a shell shaped like a nut on top of a dark surface
cable_train_good_019.png,three different fruits that have been sliced in half
cable_train_good_160.png,four fruits with different designs in a bowl
screw_train_good_319.png,an iron screw on white paper with a small hole in the middle
