Image Name,Caption
pill_ground_truth_color_020_mask.png,a round black object that is lit up
hazelnut_ground_truth_print_000_mask.png,some white pieces of artwork that are in the dark
metal_nut_ground_truth_scratch_006_mask.png,a photo of a person riding a ski board
toothbrush_ground_truth_defective_012_mask.png,an alien man holding a tennis racket above a ball
zipper_ground_truth_broken_teeth_012_mask.png,a dog looks up at a snow cloud
grid_ground_truth_broken_004_mask.png,a clock with the words time and number eleven on it
metal_nut_ground_truth_bent_002_mask.png,two people in suits and ties on the ground
carpet_ground_truth_color_010_mask.png,a person is standing in the dark with a bat in their hand
cable_ground_truth_bent_wire_001_mask.png,black and white photograph of a pair of glasses
capsule_ground_truth_crack_015_mask.png,a clock sits on a black surface
pill_ground_truth_faulty_imprint_002_mask.png,a cat in the dark with a black background
capsule_ground_truth_poke_007_mask.png,the dark street in front of a building with two stoplights
capsule_ground_truth_scratch_019_mask.png,a light in the dark with a clock on it
metal_nut_ground_truth_flip_016_mask.png,a black and white image of a wheel
zipper_ground_truth_fabric_interior_011_mask.png,the white silhouette of a dog running in front of a wall
leather_ground_truth_fold_005_mask.png,"silhouette of person with skate board, at night"
carpet_ground_truth_metal_contamination_014_mask.png,a white plane is in the dark sky
bottle_ground_truth_broken_small_002_mask.png,a black background with a close up of an object in the shape of a round object
capsule_ground_truth_scratch_018_mask.png,an airplane flying at night time with it's landing
carpet_ground_truth_hole_000_mask.png,the toilet is white in color on a black background
zipper_ground_truth_squeezed_teeth_009_mask.png,there is a white rock in the dark
transistor_ground_truth_misplaced_005_mask.png,a truck with its back half way down and a person on it is carrying a piece of paper
bottle_ground_truth_contamination_013_mask.png,a cross with white paint painted onto it
carpet_ground_truth_thread_006_mask.png,a man is holding a frisbee and a dog is running away
capsule_ground_truth_crack_018_mask.png,a black wall with an airplane flying above it
transistor_ground_truth_bent_lead_001_mask.png,a man in uniform sitting down on a bench next to his laptop
cable_ground_truth_cable_swap_006_mask.png,an odd looking object in a black background
zipper_ground_truth_squeezed_teeth_012_mask.png,there is a man holding a nintendo wii game controller
pill_ground_truth_combined_015_mask.png,a person is flying with his parachute in the air
cable_ground_truth_missing_wire_008_mask.png,a sheep standing alone at night with its face turned
screw_ground_truth_manipulated_front_007_mask.png,two white arrows pointing in opposite directions
metal_nut_ground_truth_scratch_017_mask.png,two white pieces of paper are seen in silhouette
wood_ground_truth_scratch_003_mask.png,three black and white birds flying in the sky
pill_ground_truth_crack_019_mask.png,white cat eyes on black background looking at camera
cable_ground_truth_combined_004_mask.png,the silhouette of two scissors and a hand that is about to cut
pill_ground_truth_scratch_014_mask.png,a piece of cheese sitting on top of a plate
capsule_ground_truth_poke_014_mask.png,an airplane flying through the dark sky during the day
bottle_ground_truth_broken_large_006_mask.png,an open white umbrella with a cat on top
pill_ground_truth_faulty_imprint_011_mask.png,a white map of saudi on a black background
hazelnut_ground_truth_hole_014_mask.png,white bird flying in the dark on a black background
metal_nut_ground_truth_color_013_mask.png,a photo of an area in the dark with no light on it
metal_nut_ground_truth_scratch_001_mask.png,the silhouette of a dog sticking out its tongue
screw_ground_truth_scratch_head_023_mask.png,a black and white photo of an airplane
metal_nut_ground_truth_scratch_015_mask.png,two bottles that are standing next to each other
carpet_ground_truth_metal_contamination_015_mask.png,airplane flying in the dark sky with a white sign below it
screw_ground_truth_manipulated_front_001_mask.png,a man on a surfboard in the water at night
cable_ground_truth_combined_005_mask.png,black and white photo of a mushroom with it's half open
transistor_ground_truth_damaged_case_006_mask.png,a bird flying over the side of a building at night
metal_nut_ground_truth_flip_013_mask.png,a silhouette of a person holding a stop sign
capsule_ground_truth_poke_017_mask.png,the moon is behind a jet that is flying in the sky
wood_ground_truth_color_007_mask.png,there are two faces that have been cut out of something
screw_ground_truth_thread_side_020_mask.png,a kite flying high in the night sky
zipper_ground_truth_broken_teeth_018_mask.png,a lone cow standing in the dark under a tree
pill_ground_truth_scratch_016_mask.png,a close up of a shoe in the dark
tile_ground_truth_crack_009_mask.png,the white kite is attached to a black wall
screw_ground_truth_scratch_neck_001_mask.png,an image of the moon seen through the clouds
tile_ground_truth_oil_016_mask.png,white outline of a banana on black background
hazelnut_ground_truth_crack_000_mask.png,a black and white photo of the shape of a hat
toothbrush_ground_truth_defective_013_mask.png,three black and white shoes are next to each other
cable_ground_truth_missing_cable_011_mask.png,there is no image here to provide a caption for
pill_ground_truth_color_005_mask.png,a black background with a white frisbee in the dark
capsule_ground_truth_faulty_imprint_019_mask.png,there is an image of a man walking down the hill
screw_ground_truth_manipulated_front_005_mask.png,a plane is traveling down the dark runway
leather_ground_truth_fold_008_mask.png,a black and white photo of a crescent moon
carpet_ground_truth_color_016_mask.png,a picture of a jet with no clouds in the sky
metal_nut_ground_truth_flip_019_mask.png,"an old fashioned, white metal gear is shown"
capsule_ground_truth_poke_006_mask.png,a person laying on the floor under a blanket
carpet_ground_truth_cut_015_mask.png,an abstract image of an orange and white object
cable_ground_truth_combined_008_mask.png,two snow skis that are in the air
pill_ground_truth_color_017_mask.png,two white eggs sitting in the dark on a black surface
toothbrush_ground_truth_defective_008_mask.png,an object is shown against a black background
zipper_ground_truth_combined_008_mask.png,there is a white object in the black sky
bottle_ground_truth_broken_large_004_mask.png,a bat flying through the night sky near some trees
hazelnut_ground_truth_hole_017_mask.png,the apple computer wallpapers were created in black and white
cable_ground_truth_cut_inner_insulation_002_mask.png,a white hand holding a black cat in the dark
bottle_ground_truth_broken_small_017_mask.png,"black, minimal image of t - shirt in dark"
cable_ground_truth_bent_wire_008_mask.png,white cloud in the dark black sky over town
pill_ground_truth_combined_002_mask.png,a silhouetted bird with a white bird - like tail
