Image Name,Caption
pill_ground_truth_color_020_mask.png, on a black background.
hazelnut_ground_truth_print_000_mask.png, : a close - up of a bouquet of flowers
metal_nut_ground_truth_scratch_006_mask.png," : person, person, person, person, person, person, person and person"
toothbrush_ground_truth_defective_012_mask.png, a city on a rainy day with a lot
zipper_ground_truth_broken_teeth_012_mask.png, on a black background.
grid_ground_truth_broken_004_mask.png, background with a bouquet of flowers
metal_nut_ground_truth_bent_002_mask.png, : a lot of work went into the design of this lily of the
carpet_ground_truth_color_010_mask.png, : a close - up of the back of a pony's head as
cable_ground_truth_bent_wire_001_mask.png, on a dreary
capsule_ground_truth_crack_015_mask.png, background with a lot of moving clouds and
pill_ground_truth_faulty_imprint_002_mask.png, on a black background.
capsule_ground_truth_poke_007_mask.png, on a black background.
capsule_ground_truth_scratch_019_mask.png, on a black background.
metal_nut_ground_truth_flip_016_mask.png," the world's most recently posted photos of celebrities, images"
zipper_ground_truth_fabric_interior_011_mask.png, brown background with a lot of bugs
leather_ground_truth_fold_005_mask.png, a field of dandel
carpet_ground_truth_metal_contamination_014_mask.png, a city is a small town in the southeast corner
bottle_ground_truth_broken_small_002_mask.png, : a close up of the back of a person's hand as
capsule_ground_truth_scratch_018_mask.png, background with a bouquet of flowers
carpet_ground_truth_hole_000_mask.png, background with a bouquet of flowers
zipper_ground_truth_squeezed_teeth_009_mask.png, on a black background.
transistor_ground_truth_misplaced_005_mask.png, background with a lot of space for text
bottle_ground_truth_contamination_013_mask.png," by person, via photo sharing website"
carpet_ground_truth_thread_006_mask.png, a lot of love in
capsule_ground_truth_crack_018_mask.png, background with a lot of stars and
transistor_ground_truth_bent_lead_001_mask.png," by person, via photo sharing"
cable_ground_truth_cable_swap_006_mask.png, on a black background.
zipper_ground_truth_squeezed_teeth_012_mask.png, with a lot of flowers.
pill_ground_truth_combined_015_mask.png, background with a lot of flowers.
cable_ground_truth_missing_wire_008_mask.png, by person on 500px
screw_ground_truth_manipulated_front_007_mask.png, brown background with a lot of stars and
metal_nut_ground_truth_scratch_017_mask.png, background with a bouquet of tul
wood_ground_truth_scratch_003_mask.png, background with a lot of flowers.
pill_ground_truth_crack_019_mask.png, background with a lot of butterflies.
cable_ground_truth_combined_004_mask.png, - day of the dead -
pill_ground_truth_scratch_014_mask.png, a lot of flowers.
capsule_ground_truth_poke_014_mask.png, background with a lot of stars and
bottle_ground_truth_broken_large_006_mask.png, background with a lot of space for text
pill_ground_truth_faulty_imprint_011_mask.png, on a red background.
hazelnut_ground_truth_hole_014_mask.png, on a black background
metal_nut_ground_truth_color_013_mask.png," : person, person, person, person, person, person, person, person, person."
metal_nut_ground_truth_scratch_001_mask.png, red and yellow flowers on a
screw_ground_truth_scratch_head_023_mask.png, background with a lot of flowers.
metal_nut_ground_truth_scratch_015_mask.png, background with a bouquet of flowers.
carpet_ground_truth_metal_contamination_015_mask.png, and person in the jungle.
screw_ground_truth_manipulated_front_001_mask.png, on a black background.
cable_ground_truth_combined_005_mask.png, on a black background
transistor_ground_truth_damaged_case_006_mask.png, background with a lot of flowers.
metal_nut_ground_truth_flip_013_mask.png, to the world.
capsule_ground_truth_poke_017_mask.png, a field of grass.
wood_ground_truth_color_007_mask.png, brown background with a lot of flowers.
screw_ground_truth_thread_side_020_mask.png, a city is a city in the
zipper_ground_truth_broken_teeth_018_mask.png, with a lot of flowers.
pill_ground_truth_scratch_016_mask.png, on a dreary day
tile_ground_truth_crack_009_mask.png, with a red background.
screw_ground_truth_scratch_neck_001_mask.png, on a black background.
tile_ground_truth_oil_016_mask.png, at the end of the day
hazelnut_ground_truth_crack_000_mask.png, background with a lot of flowers and
toothbrush_ground_truth_defective_013_mask.png, background with a lot of flowers and grass
cable_ground_truth_missing_cable_011_mask.png, is a collection of abstract artworks from all over the world from
pill_ground_truth_color_005_mask.png," : person, person, person, person, person, person, person, person, person, person,"
capsule_ground_truth_faulty_imprint_019_mask.png, by person on 500px.
screw_ground_truth_manipulated_front_005_mask.png, on a dreary
leather_ground_truth_fold_008_mask.png, on a white background.
carpet_ground_truth_color_016_mask.png," : person, person, person, person, person, person, person, person,"
metal_nut_ground_truth_flip_019_mask.png, the world's most recently posted photos of celebrities.
capsule_ground_truth_poke_006_mask.png, on a black background.
carpet_ground_truth_cut_015_mask.png, on a dreary
cable_ground_truth_combined_008_mask.png, - limited edition of 10.
pill_ground_truth_color_017_mask.png, on a dreary
toothbrush_ground_truth_defective_008_mask.png," by person, via photo sharing"
zipper_ground_truth_combined_008_mask.png, on the back of a person '
bottle_ground_truth_broken_large_004_mask.png, - d wallpaper with a well dressed person entitled
hazelnut_ground_truth_hole_017_mask.png, on a black background.
cable_ground_truth_cut_inner_insulation_002_mask.png, red and white poppy flowers on a black background
bottle_ground_truth_broken_small_017_mask.png, by person on 500px.
cable_ground_truth_bent_wire_008_mask.png, on a black background.
pill_ground_truth_combined_002_mask.png, on a black background.
zipper_ground_truth_rough_015_mask.png, daffodils in the rain
wood_ground_truth_hole_009_mask.png," by person, via photo sharing"
carpet_ground_truth_hole_013_mask.png, on a black background.
screw_ground_truth_thread_side_022_mask.png, background with a lot of flowers.
