Image Name,Caption
pill_ground_truth_color_020_mask.png, food items on a table                                                              
hazelnut_ground_truth_print_000_mask.png, on the side of a building                                                         
metal_nut_ground_truth_scratch_006_mask.png," on a skateboard in the sun     
                                                     "
toothbrush_ground_truth_defective_012_mask.png, on a cloudy day                                                               
zipper_ground_truth_broken_teeth_012_mask.png, man standing in the middle of a
grid_ground_truth_broken_004_mask.png, out in the wild                                                               
metal_nut_ground_truth_bent_002_mask.png, on the side of the road.
carpet_ground_truth_color_010_mask.png, standing on the side of the road.
cable_ground_truth_bent_wire_001_mask.png, on a skateboard in the middle of the street
capsule_ground_truth_crack_015_mask.png, a man with a hat standing in the grass                                                        
pill_ground_truth_faulty_imprint_002_mask.png, a person standing on a rock                                                          
capsule_ground_truth_poke_007_mask.png, on a horse in the middle of the
capsule_ground_truth_scratch_019_mask.png, on a skateboard in the middle of the day
metal_nut_ground_truth_flip_016_mask.png, and a bottle of wine on a table.
zipper_ground_truth_fabric_interior_011_mask.png, on a surfboard in the ocean                                                           
leather_ground_truth_fold_005_mask.png, a man in a white hat and a white shirt                                                     
carpet_ground_truth_metal_contamination_014_mask.png, out in the wild                                                               
bottle_ground_truth_broken_small_002_mask.png, food items on a table                                                              
capsule_ground_truth_scratch_018_mask.png, food items on a table                                                             
carpet_ground_truth_hole_000_mask.png, on a cloudy day                                                              
zipper_ground_truth_squeezed_teeth_009_mask.png, standing on the side of the road.
transistor_ground_truth_misplaced_005_mask.png, in a white t-shirt with an arrow on his head
bottle_ground_truth_contamination_013_mask.png, standing on the side of a road next to
carpet_ground_truth_thread_006_mask.png,ed on the ground in front of a group of people.
capsule_ground_truth_crack_018_mask.png, plow plow plow plow plow plow plow plow plow plow plow plow plow plow plow plow plow plow plow plow plow plow plow plow plow plow plow plow plow plow plow plow plow
transistor_ground_truth_bent_lead_001_mask.png, in the middle of the road.
cable_ground_truth_cable_swap_006_mask.png, at a restaurant                                                              
zipper_ground_truth_squeezed_teeth_012_mask.png, on a cloudy day                                                               
pill_ground_truth_combined_015_mask.png, at a skate park                                                               
cable_ground_truth_missing_wire_008_mask.png, food items on a table                                                             
screw_ground_truth_manipulated_front_007_mask.png, man on a skateboard in the middle of the day.
metal_nut_ground_truth_scratch_017_mask.png, at a restaurant                                                                
wood_ground_truth_scratch_003_mask.png, on a city street                                                               
pill_ground_truth_crack_019_mask.png, women are dressed up and posing for the camera                                                     
cable_ground_truth_combined_004_mask.png, at a restaurant                                                                
pill_ground_truth_scratch_014_mask.png, at the end of a long walkway                                                         
capsule_ground_truth_poke_014_mask.png, at an outdoor event                                                           
bottle_ground_truth_broken_large_006_mask.png, at a restaurant with a woman in
pill_ground_truth_faulty_imprint_011_mask.png, sitting on the floor next to a bag of luggage
hazelnut_ground_truth_hole_014_mask.png, on the side of the road                                                         
metal_nut_ground_truth_color_013_mask.png, on a skateboard in the middle of the street
metal_nut_ground_truth_scratch_001_mask.png, on a skis in the snow                                                          
screw_ground_truth_scratch_head_023_mask.png, standing on the side of the road.
metal_nut_ground_truth_scratch_015_mask.png, standing on the side of the road.
carpet_ground_truth_metal_contamination_015_mask.png, photo of a person in a tuxedo.!
screw_ground_truth_manipulated_front_001_mask.png, out in the wild                                                               
cable_ground_truth_combined_005_mask.png, preparing food for a meal at
transistor_ground_truth_damaged_case_006_mask.png, advertisement on the side of a building                                                        
metal_nut_ground_truth_flip_013_mask.png, and a bottle of wine on a table.
capsule_ground_truth_poke_017_mask.png, in the middle of a walkway
wood_ground_truth_color_007_mask.png, food at a restaurant                                                               
screw_ground_truth_thread_side_020_mask.png, on a cloudy day                                                            
zipper_ground_truth_broken_teeth_018_mask.png, at an outdoor event                                                            
pill_ground_truth_scratch_016_mask.png, on a cloudy day                                                             
tile_ground_truth_crack_009_mask.png, with a bird on his shoulder                                                            
screw_ground_truth_scratch_neck_001_mask.png, on a cloudy day                                                             
tile_ground_truth_oil_016_mask.png, and a woman in a white tank top.
hazelnut_ground_truth_crack_000_mask.png, food at a restaurant                                                               
toothbrush_ground_truth_defective_013_mask.png, on a cloudy day                                                               
cable_ground_truth_missing_cable_011_mask.png, standing in front of a man with
pill_ground_truth_color_005_mask.png, on a city street                                                               
capsule_ground_truth_faulty_imprint_019_mask.png, at a baseball game                                                          
screw_ground_truth_manipulated_front_005_mask.png, out in the wild                                                               
leather_ground_truth_fold_008_mask.png, sitting in the middle of a table.
carpet_ground_truth_color_016_mask.png, on a skateboard in the middle of the street.
metal_nut_ground_truth_flip_019_mask.png, for a cook out in the sun                                                         
capsule_ground_truth_poke_006_mask.png, on a sunny day                                                               
carpet_ground_truth_cut_015_mask.png, at the end of a long line of birds
cable_ground_truth_combined_008_mask.png, at an outdoor restaurant                                                               
pill_ground_truth_color_017_mask.png, to a game of t-ball in
toothbrush_ground_truth_defective_008_mask.png, food at a restaurant                                                               
zipper_ground_truth_combined_008_mask.png, for a chef in a restaurant                                                            
bottle_ground_truth_broken_large_004_mask.png, on the side of a building                                                           
hazelnut_ground_truth_hole_017_mask.png, on a skis in the snow                                                         
cable_ground_truth_cut_inner_insulation_002_mask.png, on the side of the road                                                           
bottle_ground_truth_broken_small_017_mask.png, a man standing in the middle of the woods                                                        
cable_ground_truth_bent_wire_008_mask.png, on a skateboard in a parking lot
pill_ground_truth_combined_002_mask.png, at an outdoor restaurant                                                               
zipper_ground_truth_rough_015_mask.png, a person walking with a dog                                                             
wood_ground_truth_hole_009_mask.png, on a cloudy day                                                              
carpet_ground_truth_hole_013_mask.png, at an outdoor event.
screw_ground_truth_thread_side_022_mask.png, on his cell phone in the middle of
metal_nut_ground_truth_bent_000_mask.png, on a skateboard in the middle of the street.
wood_ground_truth_liquid_008_mask.png, standing on the side of the road                                                   
wood_ground_truth_liquid_007_mask.png, food at a restaurant                                                               
pill_ground_truth_combined_013_mask.png, at a restaurant                                                                
bottle_ground_truth_contamination_004_mask.png, food on a table                                                               
grid_ground_truth_bent_007_mask.png, on a skateboard in a parking lot                                                      
cable_ground_truth_cut_outer_insulation_004_mask.png, a person is looking at a map                                                            
leather_ground_truth_glue_004_mask.png, on the side of the road.
cable_ground_truth_cable_swap_001_mask.png, is posing for the camera.
pill_ground_truth_crack_007_mask.png, a person standing on the other side of a wall
tile_ground_truth_glue_strip_005_mask.png, on a skateboard in the sun                                                            
leather_ground_truth_glue_017_mask.png, food items on the table                                                              
toothbrush_ground_truth_defective_001_mask.png, man in a white t-shirt and jeans standing in front of a woman in a white t-shirt and
cable_ground_truth_bent_wire_006_mask.png, sitting on the ground next to a trash can                                                        
capsule_ground_truth_crack_021_mask.png, on a horse in a field.
tile_ground_truth_oil_005_mask.png, for a cook at a restaurant                                                           
pill_ground_truth_crack_000_mask.png, at a restaurant with a woman standing next to him                                                      
capsule_ground_truth_squeeze_008_mask.png, at a restaurant                                                                
