Image Name,Caption
pill_ground_truth_color_020_mask.png, in the middle of
hazelnut_ground_truth_print_000_mask.png, from the top.
metal_nut_ground_truth_scratch_006_mask.png, new year's eve greeting card with a picture
toothbrush_ground_truth_defective_012_mask.png, less than a year old
zipper_ground_truth_broken_teeth_012_mask.png, in the middle of the day.
grid_ground_truth_broken_004_mask.png, in the corner of the room.
metal_nut_ground_truth_bent_002_mask.png, new year's eve greeting card.
carpet_ground_truth_color_010_mask.png, new year's eve greeting card with a new year '
cable_ground_truth_bent_wire_001_mask.png, new year's eve greeting card.!
capsule_ground_truth_crack_015_mask.png, the number of years it will take to build a new house
pill_ground_truth_faulty_imprint_002_mask.png, from the top of the
capsule_ground_truth_poke_007_mask.png, from the top.
capsule_ground_truth_scratch_019_mask.png, the number of years it will take to build a new home
metal_nut_ground_truth_flip_016_mask.png, new year's eve greeting card.!
zipper_ground_truth_fabric_interior_011_mask.png, new year's eve greeting card with a picture
leather_ground_truth_fold_005_mask.png, number of years it will take to build a new home
carpet_ground_truth_metal_contamination_014_mask.png, a new year's eve greeting card with a picture of the
bottle_ground_truth_broken_small_002_mask.png, more than a century old.!!!
capsule_ground_truth_scratch_018_mask.png, new year's eve greeting card with a picture of the new
carpet_ground_truth_hole_000_mask.png, new year's eve greeting card with a picture of
zipper_ground_truth_squeezed_teeth_009_mask.png, number of people in the room.
transistor_ground_truth_misplaced_005_mask.png, from the top left corner
bottle_ground_truth_contamination_013_mask.png, number of years it will take to build
carpet_ground_truth_thread_006_mask.png, number of people in the room.
capsule_ground_truth_crack_018_mask.png, new year's eve greeting card.
transistor_ground_truth_bent_lead_001_mask.png, a new year's eve greeting card.
cable_ground_truth_cable_swap_006_mask.png, in the corner of the
zipper_ground_truth_squeezed_teeth_012_mask.png, a new year's eve greeting card with a picture of the new
pill_ground_truth_combined_015_mask.png, new year's eve greeting card with a picture
cable_ground_truth_missing_wire_008_mask.png, a new year's eve greeting card.!!!
screw_ground_truth_manipulated_front_007_mask.png, new year's eve greeting card with a picture
metal_nut_ground_truth_scratch_017_mask.png, new year's eve greeting card.!!
wood_ground_truth_scratch_003_mask.png, from the top of the stairs
pill_ground_truth_crack_019_mask.png, new year's eve greeting card with a picture of the new
