Image Name,Caption
pill_ground_truth_color_020_mask.png,", person, person, person, person, person, person, person, person, person, person, person"
hazelnut_ground_truth_print_000_mask.png, the crowd at the show.
metal_nut_ground_truth_scratch_006_mask.png, a woman with her hands in the air
toothbrush_ground_truth_defective_012_mask.png, at a wedding reception.
zipper_ground_truth_broken_teeth_012_mask.png,", a young woman in a white blouse and black pants, stands with her hands on her hips, looking at the camera and"
grid_ground_truth_broken_004_mask.png, : the star's hair was styled in a sleek ponytail and she added a touch of glamour to her look with a pair of
metal_nut_ground_truth_bent_002_mask.png, : the star was all smiles as she posed for a photo with her fans on s
carpet_ground_truth_color_010_mask.png," the world's most popular tags for this image include : fashion, fashion, men and women,"
cable_ground_truth_bent_wire_001_mask.png, the audience at the event
capsule_ground_truth_crack_015_mask.png," with a smile on her face,"
pill_ground_truth_faulty_imprint_002_mask.png, with a smile on her face
capsule_ground_truth_poke_007_mask.png,", person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person"
capsule_ground_truth_scratch_019_mask.png, a woman with her arms around a man's shoulders
metal_nut_ground_truth_flip_016_mask.png, in the middle of the crowd.
zipper_ground_truth_fabric_interior_011_mask.png," the world's most recently posted photos of celebrities, science fiction tv program, and music."
leather_ground_truth_fold_005_mask.png, a group of people at a wedding reception
carpet_ground_truth_metal_contamination_014_mask.png," : person was one of the first people to attend the event,"
bottle_ground_truth_broken_small_002_mask.png, with a smile on her face.!
capsule_ground_truth_scratch_018_mask.png, : the star's hair was styled in a sleek ponytail and she added a touch of glamour to her look with a pair of
carpet_ground_truth_hole_000_mask.png, with a smile on her face
zipper_ground_truth_squeezed_teeth_009_mask.png, with her hair in a ponytail.
transistor_ground_truth_misplaced_005_mask.png, with person at the
bottle_ground_truth_contamination_013_mask.png, with a smile on her face
carpet_ground_truth_thread_006_mask.png, at the end of the
capsule_ground_truth_crack_018_mask.png," : a woman in her 20s, wearing a white t - shirt and blue jeans, stands in front of a white wall with a sign that reads."
transistor_ground_truth_bent_lead_001_mask.png, : a woman in a pink t - shirt and white blouse stands in front of a white wall and looks at the camera with a serious
cable_ground_truth_cable_swap_006_mask.png, with her hair in a ponytail.
zipper_ground_truth_squeezed_teeth_012_mask.png, with a smile on her face
pill_ground_truth_combined_015_mask.png, at the end of a long
cable_ground_truth_missing_wire_008_mask.png, with a smile on her face.
screw_ground_truth_manipulated_front_007_mask.png, at the show during
metal_nut_ground_truth_scratch_017_mask.png, with a smile on her face
wood_ground_truth_scratch_003_mask.png, we're all in this together!
pill_ground_truth_crack_019_mask.png, at the end of a long day at the
cable_ground_truth_combined_004_mask.png, at the end of the
pill_ground_truth_scratch_014_mask.png, with a smile on her face
capsule_ground_truth_poke_014_mask.png," : a woman with her arms around a man's shoulders,"
bottle_ground_truth_broken_large_006_mask.png, at the end of the show.
pill_ground_truth_faulty_imprint_011_mask.png," : the star was joined by her husband, who looked dapper in a black suit and white"
hazelnut_ground_truth_hole_014_mask.png, with a smile on her face
