Image Name,Caption
bottle_ground_truth_broken_large_000_mask.png,"A man in a black shirt is standing in front of a sign that says ""Finishing School ""."
bottle_ground_truth_broken_large_001_mask.png,Men with glasses are standing in a line.
bottle_ground_truth_broken_large_002_mask.png,A man with glasses is looking at something.
bottle_ground_truth_broken_large_003_mask.png,A man with glasses is looking at a piece of paper.
bottle_ground_truth_broken_large_004_mask.png,A black-haired woman with a white beard and glasses is holding a black tray of food.
bottle_ground_truth_broken_large_005_mask.png,A man with a black hat and a red shirt is holding a large piece of paper.
bottle_ground_truth_broken_large_006_mask.png,A man in a black shirt is looking at a piece of paper.
bottle_ground_truth_broken_large_007_mask.png,A man with glasses is holding a piece of paper.
bottle_ground_truth_broken_large_008_mask.png,A man with glasses is looking at something.
bottle_ground_truth_broken_large_009_mask.png,A man in a suit is looking at a piece of paper.
bottle_ground_truth_broken_large_010_mask.png,A man with glasses is speaking into a microphone.
bottle_ground_truth_broken_large_011_mask.png,A man with glasses is looking through a microscope.
bottle_ground_truth_broken_large_012_mask.png,A man with glasses is looking at something.
bottle_ground_truth_broken_large_013_mask.png,A man in a suit is standing in front of a large machine.
bottle_ground_truth_broken_large_014_mask.png,Man with glasses and a red shirt is looking at something.
bottle_ground_truth_broken_large_015_mask.png,A man with a white beard is wearing a red shirt and black hat.
bottle_ground_truth_broken_large_016_mask.png,"A black-haired man with a white beard is standing in front of a table with a large sign that says ""Auctioneer's Apprentice."
bottle_ground_truth_broken_large_017_mask.png,A man in a suit is standing in front of a table with a large number of wires.
bottle_ground_truth_broken_large_018_mask.png,A black man with glasses is standing in front of a white wall with a large machine.
bottle_ground_truth_broken_large_019_mask.png,A black man with a white shirt is standing in front of a large sign.
bottle_ground_truth_broken_small_000_mask.png,A black man with glasses is looking at something in the distance.
bottle_ground_truth_broken_small_001_mask.png,A man with glasses is playing with a red ball.
bottle_ground_truth_broken_small_002_mask.png,A black man with glasses is looking at something.
bottle_ground_truth_broken_small_003_mask.png,Man with glasses is looking at something.
bottle_ground_truth_broken_small_004_mask.png,A man with glasses and a black hat is holding a piece of paper with a red and white circle on it.
bottle_ground_truth_broken_small_005_mask.png,Man with glasses and a black hat is pouring a liquid into a glass.
bottle_ground_truth_broken_small_006_mask.png,Man with glasses and a black hat is holding a drink.
bottle_ground_truth_broken_small_007_mask.png,A man with a black hat is looking at the camera.
bottle_ground_truth_broken_small_008_mask.png,A man with glasses and a black shirt is playing the piano.
bottle_ground_truth_broken_small_009_mask.png,A black man with glasses and a white shirt is wearing a black shirt and black glasses.
bottle_ground_truth_broken_small_010_mask.png,A man with glasses is looking at something.
bottle_ground_truth_broken_small_011_mask.png,A black man with glasses is smiling.
bottle_ground_truth_broken_small_012_mask.png,Man with glasses and a black shirt with a white stripe on it.
bottle_ground_truth_broken_small_013_mask.png,A black man with glasses and a white beard is holding a wineglass.
bottle_ground_truth_broken_small_014_mask.png,A black-haired man with glasses and a white beard is looking at something.
bottle_ground_truth_broken_small_015_mask.png,A man with glasses is pouring a liquid from a bottle.
bottle_ground_truth_broken_small_016_mask.png,A man with glasses and a black shirt is looking at something.
bottle_ground_truth_broken_small_017_mask.png,A man in a black hat is looking at something.
bottle_ground_truth_broken_small_018_mask.png,Man with glasses and a white shirt is standing in front of a large glass case.
bottle_ground_truth_broken_small_019_mask.png,A man with glasses is looking at something.
bottle_ground_truth_broken_small_020_mask.png,A man with a black hat and glasses is looking at the camera.
bottle_ground_truth_broken_small_021_mask.png,A black man with a red shirt and black hat is holding a cup.
bottle_ground_truth_contamination_000_mask.png,Man with glasses and a white beard wearing a black hat and a white shirt is standing in front of a table with a white tablecloth.
bottle_ground_truth_contamination_001_mask.png,Man in a red shirt is looking at a piece of bread.
bottle_ground_truth_contamination_002_mask.png,A man in a white shirt is playing with a ball.
bottle_ground_truth_contamination_003_mask.png,A black man with glasses and a red shirt is holding a red ball.
bottle_ground_truth_contamination_004_mask.png,Woman in a white shirt is holding a cellphone.
bottle_ground_truth_contamination_005_mask.png,Two people are looking at something in the distance.
bottle_ground_truth_contamination_006_mask.png,A woman in a red shirt is looking at something.
bottle_ground_truth_contamination_007_mask.png,Actor in black shirt playing the piano.
bottle_ground_truth_contamination_008_mask.png,Two people are looking at something in the distance.
bottle_ground_truth_contamination_009_mask.png,A person is standing in the middle of the sky with a red object in his hand.
bottle_ground_truth_contamination_010_mask.png,A woman in a red shirt is looking at something in the distance.
bottle_ground_truth_contamination_011_mask.png,A woman in a red shirt is looking through her binoculars.
bottle_ground_truth_contamination_012_mask.png,A woman in a red shirt is looking at something in the distance.
bottle_ground_truth_contamination_013_mask.png,A man with glasses is looking at something in a microscope.
bottle_ground_truth_contamination_014_mask.png,Boy in a black shirt with a red tie is holding a piece of paper in his hand.
bottle_ground_truth_contamination_015_mask.png,A black man with glasses and a white beard is wearing a black suit and tie.
bottle_ground_truth_contamination_016_mask.png,A person is wearing a red hat and is looking at the sky.
bottle_ground_truth_contamination_017_mask.png,Man with glasses and a black shirt is standing in front of a mirror.
bottle_ground_truth_contamination_018_mask.png,A group of people are playing a game.
bottle_ground_truth_contamination_019_mask.png,Woman with glasses is holding a red plastic bag.
bottle_ground_truth_contamination_020_mask.png,A woman in a red shirt is looking at something.
cable_ground_truth_bent_wire_000_mask.png,A group of people are wearing glasses and white shirts.
cable_ground_truth_bent_wire_001_mask.png,A white-haired man with glasses is wearing a red shirt and a white hat.
cable_ground_truth_bent_wire_002_mask.png,A man with glasses is looking at something.
cable_ground_truth_bent_wire_003_mask.png,A black man with glasses is playing with a ball.
cable_ground_truth_bent_wire_004_mask.png,A black and white dog swims in the water.
cable_ground_truth_bent_wire_005_mask.png,The man in the black hat is holding a pitchfork.
cable_ground_truth_bent_wire_006_mask.png,A black and white striped man with a red hat is standing in the middle of a crowd.
cable_ground_truth_bent_wire_007_mask.png,A baseball player in a red uniform is running with his arms raised.
cable_ground_truth_bent_wire_008_mask.png,Man with glasses and a white shirt is looking at something.
cable_ground_truth_bent_wire_009_mask.png,Man in a suit is working at a carnival.
cable_ground_truth_bent_wire_010_mask.png,Person with a black hat on.
cable_ground_truth_bent_wire_011_mask.png,A black-haired man with a white shirt and black hat is holding a large piece of paper.
cable_ground_truth_bent_wire_012_mask.png,Scientists are looking at something.
cable_ground_truth_cable_swap_000_mask.png,Two men are looking at a computer screen.
cable_ground_truth_cable_swap_001_mask.png,A man in a yellow shirt is looking at something.
cable_ground_truth_cable_swap_002_mask.png,A man with glasses and a black shirt is looking at something.
cable_ground_truth_cable_swap_003_mask.png,A black-haired man with glasses is looking at a piece of paper.
cable_ground_truth_cable_swap_004_mask.png,A man with glasses is looking at something.
cable_ground_truth_cable_swap_005_mask.png,Man in a suit is looking at something.
cable_ground_truth_cable_swap_006_mask.png,Man with glasses and a black hat is looking at something.
cable_ground_truth_cable_swap_007_mask.png,A man in a suit is looking at a computer screen.
cable_ground_truth_cable_swap_008_mask.png,Two men with glasses are looking at something.
cable_ground_truth_cable_swap_009_mask.png,A man in a red shirt is looking at a screen.
cable_ground_truth_cable_swap_010_mask.png,A man with glasses is looking at a computer screen.
cable_ground_truth_cable_swap_011_mask.png,A man with glasses is looking at something.
cable_ground_truth_combined_000_mask.png,Group of people are playing with bubbles.
cable_ground_truth_combined_001_mask.png,A man in a black shirt is holding a piece of paper with a red circle on it.
cable_ground_truth_combined_002_mask.png,A man with glasses and a black shirt is holding a drink in his hand.
cable_ground_truth_combined_003_mask.png,Students are looking at a wall with a large white wall with a black and white circle in the middle.
cable_ground_truth_combined_004_mask.png,"Former New York City Councillor for the London 2012 Olympics, Christoph Hopper, is looking at the paper."
cable_ground_truth_combined_005_mask.png,Looking at a piece of paper.
cable_ground_truth_combined_006_mask.png,Individuals are looking at a display of various items.
cable_ground_truth_combined_007_mask.png,Two people are looking at a piece of paper.
cable_ground_truth_combined_008_mask.png,Five people are standing around a table with a red and white machine.
cable_ground_truth_combined_009_mask.png,Man with glasses and a black hat is looking at a glass of wine.
cable_ground_truth_combined_010_mask.png,A man with glasses is looking at a piece of paper.
cable_ground_truth_cut_inner_insulation_000_mask.png,A white-haired man with glasses is sitting in a room with a group of people.
cable_ground_truth_cut_inner_insulation_001_mask.png,A man with glasses and a black hat is standing in the middle of a crowd.
cable_ground_truth_cut_inner_insulation_002_mask.png,A black man with glasses is wearing a black shirt and black pants.
cable_ground_truth_cut_inner_insulation_003_mask.png,A black-haired person with glasses is playing a game.
cable_ground_truth_cut_inner_insulation_004_mask.png,Man with glasses and a white beard is standing in front of a table with a glass of water.
cable_ground_truth_cut_inner_insulation_005_mask.png,Actor in black shirt playing a game.
